ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad,Tipo de departamento,Fecha de entrega,Huéspedes,Admite mascotas,Tipo de bodega,NÃºmero de oficinas,Altura,Superficie cubierta del casco,Número de oficinas,Plataformas para trailers
1420929131,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420929131-casa-en-venta-de-un-piso-colonia-san-javier-san-miguel-de-_JM,"$2,100,000",San Miguel De Allende,San Javier,105 mÂ²,4,,,1,,,,80 mÂ²,2,2,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1420990380,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420990380-casa-vitrales-en-venta-infonavit-malanquin-en-san-miguel-de-_JM,"$1,450,000",San Miguel De Allende,Unidad habitacional INFONAVIT Malanquin,90 m²,4,3,1,,,0 años,,90 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420996314,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420996314-casa-en-venta-fraccionamiento-el-secreto-en-san-miguel-de-a-_JM,"U$S250,000",San Miguel De Allende,Fraccionamiento El Secreto,207 mÂ²,4,,,,,,,172 mÂ²,2,2,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1420929101,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420929101-casa-catorce-en-venta-fracc-balcones-en-san-miguel-de-alle-_JM,"U$S1,127,300",San Miguel De Allende,Balcones,978 m²,9,4,4,,,0 años,,634 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420922888,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420922888-casa-guadalupe-en-venta-fracc-san-javier-en-san-miguel-de-_JM,"$2,550,000",San Miguel De Allende,San Javier,105 mÂ²,6,,,1,,,,90 mÂ²,3,3,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1420911272,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420911272-casa-tesoro-en-venta-en-fracc-villa-de-los-frailes-en-san-m-_JM,"U$S379,000",San Miguel De Allende,Villa De Los Frailes,510 m²,5,3,2,1,,0 años,,405 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420917789,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420917789-casa-garambullos-en-venta-en-los-garambullos-en-san-miguel-d-_JM,"U$S1,150,000",San Miguel De Allende,Los Garambullos,31522 m²,10,5,5,5,,0 años,,465 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420941315,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420941315-casa-diamante-en-venta-fracc-bellavista-en-san-miguel-de-a-_JM,"U$S335,000",San Miguel De Allende,Bellavista,249 m²,6,3,3,1,,0 años,,300 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420996307,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420996307-casa-la-canada-en-venta-calle-la-ronda-fracc-la-canada-s-_JM,"U$S333,333",San Miguel De Allende,La Cañadita,248 m²,10,4,4,3,,0 años,,376 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420929100,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420929100-casa-centro-en-venta-para-airbampb-san-miguel-de-allend-_JM,"U$S215,000",San Miguel De Allende,San Miguel De Allende Centro,48 m²,5,2,3,,,0 años,,115 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420996304,guanajuato,villa,https://casa.metroscubicos.com/MLM-1420996304-villa-en-venta-fracc-tierradentro-en-san-miguel-de-allende-_JM,"$3,500,000",San Miguel De Allende,Allende,120 mÂ²,6,,,,,,,114 mÂ²,3,3,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1421002588,guanajuato,rancho,https://casa.metroscubicos.com/MLM-1421002588-rancho-morera-en-venta-carretera-a-dolores-hidalgo-en-san-m-_JM,"U$S2,900,000",San Miguel De Allende,Salida a Dolores-Hidalgo,78640 mÂ²,11,,,4,,,,450 mÂ²,4,4,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1420941316,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420941316-casa-del-llano-en-venta-fracc-la-palmita-en-san-miguel-de-_JM,"U$S300,000",San Miguel De Allende,La Palmita,200 m²,7,2,2,2,,0 años,,245 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421002595,guanajuato,casa,https://casa.metroscubicos.com/MLM-1421002595-casa-amueblada-en-venta-fracc-el-capricho-en-san-miguel-de-_JM,"$3,600,000",San Miguel De Allende,Malaquin La Mesa,287 m²,7,3,3,2,,0 años,,157 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420941311,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420941311-casa-old-stone-en-venta-las-canas-en-dolores-hidalgo-_JM,"U$S265,000",Dolores Hidalgo,Ciudad Dolores Hidalgo,32000 m²,2,1,1,,,0 años,,410 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
