ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Antigüedad,Orientación,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Ambientes,Cantidad de pisos,OrientaciÃ³n,Bodegas,Tipo de casa,Tipo de propiedad,Número de piso de la unidad,Disposición,Departamentos por piso,Acceso,Forma del terreno,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Disposición del lote
932670789,tlaxcala,casa,https://casa.metroscubicos.com/MLM-932670789-casa-en-venta-en-apizaco-con-locales-_JM,"$2,350,000",Apizaco,Del Carmen,250 m²,404 m²,4,2,3,16 años,,,,,,9,,,,,,,,,,,,,,
1407313486,tlaxcala,casa,https://casa.metroscubicos.com/MLM-1407313486-casa-en-venta-tlaxcala-ceylan-tlalnepantla-l-bonfi-_JM,"$980,000",Tlalnepantla de Baz,Valle Ceylan,385 m²,450 m²,4,3,2,10 años,,,,,,4,2,,,,,,,,,,,,,
1318504498,tlaxcala,casa,https://casa.metroscubicos.com/MLM-1318504498-casa-sola-en-venta-ferrocarrilera-_JM,"$650,000",Apizaco,Ferrocarrilera,60 m²,75 m²,3,2,,6 años,,,,,,,,,,,,,,,,,,,,
1389243840,tlaxcala,casa,https://casa.metroscubicos.com/MLM-1389243840-casa-en-el-mirador-calpulalpan-tlaxcala-jsr-_JM,"$345,000",Calpulalpan,Calpulalpan,100 mÂ²,100 mÂ²,,,1,,,0 MXN,2,1,13 aÃ±os,,1,Sur,,,,,,,,,,,,
927686542,tlaxcala,hermosa,https://casa.metroscubicos.com/MLM-927686542-hermosa-casa-en-venta-de-un-nivel-doble-altura-diseno-unico-a-5-min-huamantla-_JM,"$720,000",Huamantla,San Sebastián,90 m²,65 m²,2,1,1,1 años,,,,,,,,,,,,,,,,,,,,
1383700320,tlaxcala,propiedad,https://casa.metroscubicos.com/MLM-1383700320-propiedad-habitacional-o-comercial-_JM,"$4,650,000",Tlaxcala,Miraflores,781 m²,232 m²,4,3,5,0 años,,0 MXN,,,,,,,,,,,,,,,,,,
927729625,tlaxcala,aproveche,https://casa.metroscubicos.com/MLM-927729625-aproveche-preventa-en-condominio-la-minerva-huamantla-tlaxcala-_JM,"$720,000",Huamantla,San Sebastián,90 m²,65 m²,2,1,1,1 años,,,,,,,,,,,,,,,,,,,,
1362735185,tlaxcala,casa,https://casa.metroscubicos.com/MLM-1362735185-casa-en-venta-como-inversion-en-san-lorenzo-cuapiaxtla-tlaxc-_JM,"$8,000,000",Cuapiaxtla,San Miguel,1500 mÂ²,1 mÂ²,,,7,,,,3,2,0 aÃ±os,5,,,,,,,,,,,,,,
1367617745,tlaxcala,45,https://casa.metroscubicos.com/MLM-1367617745-45-hectareas-increible-desarrollo-agricola-rancho-cerca-de-huamantla-tlaxcala-_JM,"$17,000,000",Terrenate,El CapulÃ­n,450000 mÂ²,400 mÂ²,,,,,,,4,4,5 aÃ±os,,,,,,,,,,,,,,,
936084769,tlaxcala,casa,https://casa.metroscubicos.com/MLM-936084769-casa-en-venta-en-tlaxcala-_JM,"$1,750,000",Tlaxcala,Miraflores,110 m²,150 m²,3,2,,0 años,,,,,,6,,,,,,,,,,,,,,
1345236919,tlaxcala,casa,https://casa.metroscubicos.com/MLM-1345236919-casa-en-venta-un-nivel-vista-a-la-laguna-_JM,"$1,525,000",Tepeyanco,Santiago Tlacochcalco,464.99 m²,117.5 m²,2,2,5,5 años,,,,,,,,,,,,,,,,,,,,
1319078077,tlaxcala,casa,https://casa.metroscubicos.com/MLM-1319078077-casa-uso-de-suelo-en-venta-tlaxcala-centro-_JM,"$21,000,000",Tlaxcala,Tlaxcala Centro,1500 m²,1000 m²,6,8,,61 años,,,,,,,,,,,,,,,,,,,,
937696768,tlaxcala,tlaxcala,https://casa.metroscubicos.com/MLM-937696768-tlaxcala-roma-sur-cuauhtemoc-_JM,"$10,280,000",Cuauhtémoc,Roma Sur,101 m²,263 m²,6,6,1,45 años,,,,,,,,,,,,,,,,,,,,
924385025,tlaxcala,casa,https://casa.metroscubicos.com/MLM-924385025-casa-_JM,"$1,334,400",Papalotla De Xicohtencatl,Panzacola,112 m²,240 m²,3,2,2,10 años,,,,,,,,,,,,,,,,,,,,
1390366626,tlaxcala,casa,https://casa.metroscubicos.com/MLM-1390366626-casa-en-venta-en-apetatitlan-tlaxcala-_JM,"$2,900,000",Tlaxcala,Apetatitlán De A Carbajal,1090 m²,291 m²,2,1,,,,,,,,,2,,,,,,,,,,,,,
1326374374,tlaxcala,casa,https://casa.metroscubicos.com/MLM-1326374374-casa-sola-en-venta-loma-florida-1a-secc-_JM,"$1,200,000",Apizaco,Loma Florida 1a Secc,106 mÂ²,125 mÂ²,,,,,,,3,2,1 aÃ±os,,,,,,,,,,,,,,,
1413476152,tlaxcala,casa,https://casa.metroscubicos.com/MLM-1413476152-casa-con-amplio-jardin-semi-residencial-en-venta-_JM,"$3,800,000",Apetatitlán De A Carbajal,San Matías Tepetomatitlan,1000 m²,292 m²,3,3,4,1 años,,,,,,,,,,,,,,,,,,,,
1354978323,tlaxcala,inversionistas,https://casa.metroscubicos.com/MLM-1354978323-inversionistas-amplia-propiedad-en-venta-_JM,"$8,200,000",Huamantla,Huamantla,1782 m²,644 m²,,,,0 años,,,,,,,,,,,,,,,,,,,,
927602017,tlaxcala,hermosa,https://casa.metroscubicos.com/MLM-927602017-hermosa-casa-en-venta-dos-niveles-doble-altura-diseno-unico-a-5-min-huamantla-_JM,"$930,000",Huamantla,San Sebastián,90 m²,85 m²,3,2,1,1 años,,,,,,,,,,,,,,,,,,,,
1387300048,tlaxcala,venta,https://casa.metroscubicos.com/MLM-1387300048-venta-de-casa-nueva-en-tlaxcala-_JM,"$1,150,000",Totolac,San Juan Totolac,120 m²,110 m²,3,2,2,0 años,,,,,,,,,,,,,,,,,,,,
