ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Tipo de departamento,Disposición del lote
1425529740,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1425529740-casa-en-ejido-francisco-villa-2a-seccion-tijuana-con-5-recamaras-100-m-id-64978-_JM,"$1,100,000",Tijuana,Ejido Francisco Villa 2a Sección,200 m²,100 m²,5,5,2,1,,,Sur,15 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1425449631,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1425449631-casa-en-hidalgo-tijuana-con-4-recamaras-374-m-id-67485-_JM,"$6,355,000",Tijuana,Hidalgo,200 m²,374 m²,4,4,4,8,,,Sur,1 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1425529403,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1425529403-casa-en-las-villas-tijuana-tijuana-con-3-recamaras-207-m-id-71770-_JM,"$4,685,000",Tijuana,Las Villas Tijuana,162 m²,207 m²,3,3,2,2,,,Sur,12 años,300 MXN,,,,Casa,,,,,,,,,,,,,
1425462445,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1425462445-casa-en-porticos-de-san-antonio-tijuana-con-3-recamaras-130-m-id-74953-_JM,"$2,550,000",Tijuana,Porticos De San Antonio,130 m²,130 m²,3,3,2,2,,,Sur,12 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1425456236,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1425456236-casa-en-mineral-de-santa-fe-tijuana-con-2-recamaras-350-m-id-68248-_JM,"$7,000,000",Tijuana,Mineral de Santa Fe,200 m²,350 m²,2,2,3,3,,,Sur,12 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1425542421,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1425542421-casa-en-hacienda-los-venados-tijuana-con-2-recamaras-57-m-id-72364-_JM,"$1,000,000",Tijuana,Hacienda los Venados,126 m²,57 m²,2,2,1,2,,,Sur,9 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1425424050,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1425424050-casa-en-mariano-matamoros-norte-tijuana-con-2-recamaras-130-m-id-77769-_JM,"$1,800,000",Tijuana,Mariano Matamoros (Norte),195 m²,130 m²,2,2,1,3,,,Sur,17 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1425455968,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1425455968-casa-en-lomas-del-real-tijuana-con-2-recamaras-156-m-id-74619-_JM,"$2,250,000",Baja California,Tijuana,209 m²,156 m²,2,2,1,1,,,Sur,12 años,250 MXN,,,,Casa,,,,,,,,,,,,,
1425456195,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1425456195-casa-en-herradura-sur-tijuana-con-3-recamaras-256-m-id-76221-_JM,"$5,960,000",Tijuana,Herradura Sur,256 m²,256 m²,3,3,2,2,,,,12 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1420059832,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1420059832-casa-amueblada-3-rec-vista-al-mar-_JM,"$6,400,000",Los Cabos,El Tezal,213 mÂ²,168 mÂ²,,,,2,1,2,,,2950 MXN,3,4,10 aÃ±os,,,,,,,,,,,,,,
1425953152,baja-california-sur,exclusiva,https://casa.metroscubicos.com/MLM-1425953152-exclusiva-oportunidad-en-venta-es-el-momento-de-encontrar-un-pedacito-de-la-baja-con-este-espectacular-proyecto-de-casa-en-en-el-desarrollo-de-querencia-en-san-jose-del-cabo-mexico-_JM,"U$S4,275,000",Baja California Sur,Los Cabos,2276 m²,,,5,5,,,,,,,,,,,,,,,,,,,,,,,
1422740203,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1422740203-casa-en-venta-en-perla-_JM,"$6,000,000",La Paz,Perla,450 m²,245 m²,,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1422751757,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1422751757-casa-en-venta-en-villas-del-encanto-_JM,"$1,995,000",La Paz,Villas Del Encanto,140 m²,83 m²,,2,2,2,,,,,,,,,,,,,,,,,,,,,,
1422908014,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1422908014-casa-en-venta-en-cluster-baja-california-sur-_JM,"$4,100,000",San Andrés Cholula,Lomas de Angelópolis,167 m²,267 m²,8,3,4,2,,,,0 años,,,,,,,,,,,,,,,,,,
1422740249,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1422740249-casa-en-venta-en-san-miguel-_JM,"$1,810,000",La Paz,Fraccionamiento San Miguel,140 m²,87 m²,,2,2,2,,,,,,,,,,,,,,,,,,,,,,
1423532503,baja-california-sur,casa,https://casa.metroscubicos.com/MLM-1423532503-casa-en-evnta-en-monterreal-residencial-los-cabos-baja-california-sur-dcch-_JM,"$1,391,199",Los Cabos,Fraccionamiento Monterreal Residencial 1ra Etapa,120 m²,150 m²,,3,2,1,,2,,12 años,,,,,,,,,,,,,,,,,,
