ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Orientación,Antigüedad,Ambientes,Bodegas,Cantidad de pisos,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote,DisposiciÃ³n
1425309210,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425309210-casa-uso-de-suelo-en-venta-portalegre-_JM,"$5,500,000",Culiacán,Portalegre,257 m²,133 m²,3,4,,,0 años,,,,,,,,,,,,,,,,,,,,,
1425315827,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425315827-casa-sola-en-venta-portalegre-_JM,"$9,500,000",Culiacán,Portalegre,515 m²,133 m²,3,4,,,0 años,,,,,,,,,,,,,,,,,,,,,
1424730131,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424730131-casa-en-venta-en-prados-del-sol-culiacan-sinaloa-_JM,"$1,950,000",Culiacán,INFONAVIT Prados del Sol,192 m²,185 m²,4,2,2,,5 años,,1,2,,,,,,Casa,Casa sola,,,,,,,,,,,
1425947648,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425947648-casa-sola-en-venta-colinas-de-san-miguel-_JM,"$6,000,000",Culiacán,Colinas De San Miguel,192 m²,305 m²,3,4,,,14 años,,,,,,,,,,,,,,,,,,,,,
1425450149,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425450149-casa-sola-en-venta-aria-_JM,"$3,724,440",Culiacán,La Candelaria,120 m²,226 m²,3,4,,,0 años,,,,,,,,,,,,,,,,,,,,,
1425431459,sinaloa,remate,https://casa.metroscubicos.com/MLM-1425431459-remate-bancario-casa-en-las-quintas-culiacan-zfv-_JM,"$1,244,500",Sinaloa,Culiacán,174 m²,174 m²,3,1,2,,10 años,6,,1,0 MXN,,,,,,,,,,,,,,,,,
1424702238,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424702238-casa-sola-en-venta-real-del-valle-_JM,"$3,045,000",MazatlÃ¡n,Real Del Valle,115 mÂ²,185 mÂ²,,,,,,,,,,3,3,,2 aÃ±os,,,,,,,,,,,,,
1426260281,sinaloa,casa,https://casa.metroscubicos.com/MLM-1426260281-casa-sola-en-venta-perisur-_JM,"$2,748,000",Culiacán,Perisur,100 m²,137 m²,3,5,,,11 años,,,,,,,,,,,,,,,,,,,,,
1424190298,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424190298-casa-en-venta-de-remate-bancario-en-fraccionamiento-las-quintas-culiacan-sin-_JM,"$2,630,500",Culiacán,Las Quintas,350 m²,,3,3,2,,0 años,,,,0 MXN,,,,,,,,,,,,,,,,,
1426035149,sinaloa,casa,https://casa.metroscubicos.com/MLM-1426035149-casa-uso-de-suelo-en-venta-paseo-del-rio-_JM,"$1,850,000",Culiacán,Paseo Del Rio,96 m²,152 m²,2,3,,,0 años,,,,,,,,,,,,,,,,,,,,,
1424871340,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424871340-casa-en-venta-en-privada-lomas-del-bosque-culiacan-_JM,"$12,000,000",Culiacán,Lomas Del Bosque,375 m²,662 m²,4,4,4,Norte,25 años,4,,2,3000 MXN,,,,,,,,,,,,,,,,,
1426432544,sinaloa,venta,https://casa.metroscubicos.com/MLM-1426432544-venta-casa-en-remate-fraccionamiento-las-quintas-3-recamaras-_JM,"$1,244,500",Culiacán,Las Quintas,250 m²,,3,2,2,,10 años,,,1,0 MXN,,,,,,,,,,,,,,,,,
1426413308,sinaloa,venta,https://casa.metroscubicos.com/MLM-1426413308-venta-casa-en-remate-fracc-lomas-del-sol-culiacan-2-recamaras-_JM,"$859,500",Culiacán,Lomas Del Sol,110 m²,,2,1,2,,10 años,,,2,0 MXN,,,,,,,,,,,,,,,,,
1425953951,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425953951-casa-uso-de-suelo-en-venta-burocrata-_JM,"$3,000,000",Culiacán,Burócrata,241 m²,276 m²,3,4,,,0 años,,,,,,,,,,,,,,,,,,,,,
1423452258,sinaloa,casa,https://casa.metroscubicos.com/MLM-1423452258-casa-en-venta-en-valle-alto-en-culiacan-sinaloaa-_JM,"$1,050,000",Culiacán,Valle Alto,107 m²,67 m²,3,1,1,,10 años,,1,1,,,,,,Casa,Casa sola,,,,,,,,,,,
1423049736,sinaloa,casa,https://casa.metroscubicos.com/MLM-1423049736-casa-en-venta-prolongacon-alvaro-obregon-ubicacion-unica-a-un-costado-del-parque-87-calle-cerrada-atras-de-escuela-flores-magon-_JM,"$2,650,000",Culiacán,Amado Nervo,198 m²,240 m²,3,3,,,,,,,,,,,,,,,,,,,,,,,,
1426285922,sinaloa,casa,https://casa.metroscubicos.com/MLM-1426285922-casa-sola-en-venta-perisur-_JM,"$2,500,000",Culiacán,Perisur,160 m²,173 m²,3,3,,,11 años,,,,,,,,,,,,,,,,,,,,,
1425955098,sinaloa,valle,https://casa.metroscubicos.com/MLM-1425955098-valle-alto-sinonimo-de-plusvalia-adquiere-tu-hogar-ya-casa-en-venta-en-el-sector-con-mas-desarrollo-de-cln-y-lo-que-le-falta-_JM,"$1,750,000",CuliacÃ¡n,Valle Alto,117 mÂ²,,,,,,,,,,,3,1,,,,,,,,,,,,,,,
1426261700,sinaloa,casa,https://casa.metroscubicos.com/MLM-1426261700-casa-en-exclusiva-zona-en-venta-de-remate-fraccionamiento-las-quintas-_JM,"$2,630,500",Culiacán,Las Quintas,420 m²,,4,3,2,,7 años,,,2,0 MXN,,,,,,,,,,,,,,,,,
1424128621,sinaloa,dm,https://casa.metroscubicos.com/MLM-1424128621-dm-casa-en-venta-de-recuperacion-bancaria-en-miguel-hidalgo-centro-mazatlan-sinaloa-_JM,"$1,542,164",Mazatlán,Centro,122 m²,147 m²,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
1423657386,sinaloa,dm,https://casa.metroscubicos.com/MLM-1423657386-dm-casa-en-venta-de-recuperacion-bancaria-excelente-oportunidad-en-rio-amazonas-las-gaviotas-mazatlan-sinaloa-_JM,"$1,682,984",Mazatlán,Las Gaviotas,483 m²,200 m²,3,3,1,,,,,,,,,,,,,,,,,,,,,,,
1423534168,sinaloa,dm,https://casa.metroscubicos.com/MLM-1423534168-dm-casa-e-venta-excelente-oportunidad-de-recuperacion-bancaria-en-circuito-el-secreto-mazatlan-sinaloa-_JM,"$2,343,528",Mazatlán,El Secreto,200 m²,180 m²,3,2,2,,,,,,,,,,,,,,,,,,,,,,,
1423663606,sinaloa,dm,https://casa.metroscubicos.com/MLM-1423663606-dm-casa-en-venta-de-recuperacion-bancaria-excelente-oportunidad-en-valle-de-la-cordillera-valle-alto-culiacan-sinaloa-_JM,"$1,571,459",Culiacán,Valle Alto,144 m²,210 m²,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
1425430339,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425430339-casa-de-preventa-en-fracc-villa-tutuli-_JM,"$860,000",Mazatlán,Villa Verde,99 m²,62 m²,3,1,1,Norte,0 años,,,,0 MXN,,,,,,,,,,,,,,,,,
1423562784,sinaloa,dm,https://casa.metroscubicos.com/MLM-1423562784-dm-casa-en-venta-excelente-oportunidad-de-recuperacion-bancaria-en-san-armando-real-del-valle-mazatlan-sinaloa-_JM,"$2,017,597",Mazatlán,Real Del Valle,136 m²,173 m²,4,3,2,,,,,,,,,,,,,,,,,,,,,,,
1422733442,sinaloa,casas,https://casa.metroscubicos.com/MLM-1422733442-casas-en-venta-el-cid-_JM,"U$S19,500,000",MazatlÃ¡n,Marina El Cid,633 mÂ²,600 mÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,
1423452581,sinaloa,dm,https://casa.metroscubicos.com/MLM-1423452581-dm-casa-en-venta-excelente-oportunidad-de-remate-bancario-en-residencial-marina-kelly-mazatlan-sinaloa-_JM,"$2,754,884",Mazatlán,Villa Marina,180 m²,180 m²,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
1424628616,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424628616-casa-sola-en-venta-guadalupe-_JM,"$5,996,000",Culiacán,Guadalupe,369 m²,392 m²,3,2,,,0 años,,,,,,,,,,,,,,,,,,,,,
1425431249,sinaloa,rr,https://casa.metroscubicos.com/MLM-1425431249-rr-remates-bancarios-casa-de-1-p-col-los-angeles-santa-fe-_JM,"$536,000",Mazatlán,Los Angeles (Santa Fe),92 m²,54 m²,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
1424111102,sinaloa,excelente,https://casa.metroscubicos.com/MLM-1424111102-excelente-oportunidad-de-inversion-fracc-la-florida-culiacan-fr81-_JM,"$1,150,000",Culiacán,La Florida,150 m²,220 m²,3,2,2,,,,,,,,,,,,,,,,,,,,,,,
