ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote,DisposiciÃ³n
1405135942,morelos,18332,https://departamento.metroscubicos.com/MLM-1405135942-18332-av-mexico-manzanastitla-_JM,"$4,400,000",Cuajimalpa De Morelos,Manzanastitla,75 m²,75 m²,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,
1401922126,morelos,departamento,https://departamento.metroscubicos.com/MLM-1401922126-departamento-en-punta-poniente-_JM,"$6,100,000",Cuajimalpa De Morelos,Santa Fe Cuajimalpa,113 m²,113 m²,4,2,2,2,,,,14 años,,,,,,,,,,,,,,,,,,,
1401399306,morelos,depto,https://departamento.metroscubicos.com/MLM-1401399306-depto-en-venta-espacios-amplios-iluminado-buenos-acabad-_JM,"U$S675,000",Cuajimalpa De Morelos,Bosques de las Lomas,285 m²,285 m²,7,3,3,3,,,,11 años,,,,,,,,,,,,,,,,,,,
1397002050,morelos,amplisimo,https://departamento.metroscubicos.com/MLM-1397002050-amplisimo-departamento-en-bosques-de-las-lomas-con-excelente-_JM,"$12,400,000",Cuajimalpa De Morelos,Bosques de las Lomas,310 m²,310 m²,7,3,3,3,,,,0 años,,,,,,,,,,,,,,,,,,,
1395308082,morelos,departamentos,https://departamento.metroscubicos.com/MLM-1395308082-departamentos-en-venta-torre-lux-_JM,"$14,250,000",Cuajimalpa De Morelos,Lomas Del Chamizal,274 m²,274 m²,6,3,3,2,,,,0 años,,,,,,,,,,,,,,,,,,,
1390509873,morelos,departamento,https://departamento.metroscubicos.com/MLM-1390509873-departamento-en-venta-en-atalaya-paseo-de-primaveras-_JM,"$19,999,999",Cuajimalpa De Morelos,Lomas De Vista Hermosa,,440 m²,,3,3,5,1,,,24 años,,,,,,,,,,,,,,,,,,,
1387892492,morelos,departamento,https://departamento.metroscubicos.com/MLM-1387892492-departamento-bosques-de-las-lomas-328m2-_JM,"$12,600,000",Cuajimalpa De Morelos,Bosques de las Lomas,328 m²,328 m²,7,3,3,3,,,,0 años,,,,,,,,,,,,,,,,,,,
1380566185,morelos,moderno,https://departamento.metroscubicos.com/MLM-1380566185-moderno-departamento-en-cuajimalpa-_JM,"$3,190,000",Cuajimalpa De Morelos,Rancho Locaxco,64 m²,64 m²,,2,1,1,1,,,0 años,,,,,2,,,,,,,,,,,,,,
1361163722,morelos,venta,https://departamento.metroscubicos.com/MLM-1361163722-venta-departamento-santa-fe-_JM,"$20,000,000",Cuajimalpa De Morelos,Santa Fe Cuajimalpa,350 m²,350 m²,7,3,3,3,,,,12 años,,,,,,,,,,,,,,,,,,,
1358567418,morelos,hermoso,https://departamento.metroscubicos.com/MLM-1358567418-hermoso-departamento-con-roof-garden-privado-a-la-venta-en-s-_JM,"$7,950,000",Cuajimalpa De Morelos,Contadero,114 m²,114 m²,6,2,2,2,,,,5 años,,,,,,,,,,,,,,,,,,,
