ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Antigüedad,RecÃ¡maras,BaÃ±os,Cuota mensual de mantenimiento,AntigÃ¼edad,Cantidad de pisos,Bodegas,Orientación,OrientaciÃ³n,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,DisposiciÃ³n,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote
1420668947,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1420668947-casa-en-venta-othon-p-blanco-chetumal-quintana-roo-_JM,"$650,000",Othon P Blanco,Las Américas III,129 m²,36 m²,,1,1,1,9 años,,,,,,,,,,,,,,,,,,,,,
1416252674,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416252674-casa-en-venta-en-villa-pescadores-cancun-_JM,"U$S2,500,000",Cancún/Benito Juárez,Zona Hotelera,400 m²,300 m²,,5,4,2,0 años,,,,,,,,,,,,,,,,,,,,,
1401695608,quintana-roo,estrena,https://casa.metroscubicos.com/MLM-1401695608-estrena-casa-en-esquina-en-arbolada-4-habitaciones-y-cuarto-de-servicio-_JM,"$4,390,000",Cancún/Benito Juárez,Supermanzana 336,155 m²,225 m²,11,4,5,2,1 años,,,900 MXN,,3,1,Norte,,,,,,,,,,,,,,
1420946776,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1420946776-casa-maya-en-venta-ciudad-de-chetumal-quintana-roo-_JM,"$1,170,000",Chetumal,Chetumal Centro,149 m²,105 m²,7,4,2,2,14 años,,,,,,,,,,,,,,,,,,,,,
1416316029,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416316029-casa-en-venta-en-lagos-del-sol-con-vistas-al-lago-_JM,"$20,000,000",Cancún/Benito Juárez,Lagos del Sol,790 m²,640 m²,,4,4,4,0 años,,,,,,,,,,,,,,,,,,,,,
1418899689,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418899689-casa-en-venta-en-los-canales-i-puerto-cancun-_JM,"U$S1,799,000",Cancún/Benito Juárez,Puerto Cancún,510 m²,800 m²,12,5,6,8,9 años,,,,,,,,,,,,,,,,,,,,,
1416316253,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416316253-casa-en-venta-en-villa-magna-_JM,"U$S1,000,000",Cancún/Benito Juárez,Supermanzana 3 Centro,1151 m²,889 m²,,4,4,,0 años,,,,,,,,,,,,,,,,,,,,,
1416316317,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416316317-casa-en-venta-ubicada-en-arbolada-cancun-_JM,"$3,200,000",Cancún/Benito Juárez,Arboledas,120 m²,160 m²,,3,3,2,0 años,,,,,,,,,,,,,,,,,,,,,
1416233467,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416233467-casa-en-venta-col-lombardo-toledano-cancun-quintana-roo-_JM,"$1,450,000",Cancún/Benito Juárez,Lombardo Toledano,105 m²,150 m²,,3,2,1,14 años,,,,,,,,,,,,,,,,,,,,,
1416245744,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1416245744-venta-de-casa-en-sm39-con-alberca-cancun-quintana-roo-_JM,"$2,150,000",Cancún/Benito Juárez,Supermanzana 39,150 m²,150 m²,,3,2,1,5 años,,,,,,,,,,,,,,,,,,,,,
1416227077,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416227077-casa-de-lujo-en-desarrollo-privado-en-el-sur-de-cancun-cerca-de-arbolada-y-long-island-_JM,"$2,460,754",Cancún/Benito Juárez,SM 313,117 m²,143 m²,,3,2,2,0 años,,,,,,,,,,,,,,,,,,,,,
1416126348,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416126348-casa-en-venta-ubicada-en-las-torres-benito-juarez-quintana-roo-_JM,"$1,180,000",Cancún/Benito Juárez,Las Torres,95 m²,80 m²,,3,2,1,11 años,,,,,,,,,,,,,,,,,,,,,
1418969607,quintana-roo,villa,https://casa.metroscubicos.com/MLM-1418969607-villa-magna-casa-en-venta-cancun-_JM,"$18,000,000",Cancún/Benito Juárez,Supermanzana 310,780 m²,700 m²,9,4,4,3,3 años,,,,,,,,,,,,,,,,,,,,,
1418836397,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418836397-casa-en-preventa-en-cancun-en-lagos-del-sol-residencial-_JM,"$12,300,000",CancÃºn/Benito JuÃ¡rez,Lagos del Sol,352 mÂ²,407 mÂ²,9,,,3,,4,4,,0 aÃ±os,,,,,,,,,,,,,,,,,
1389497686,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1389497686-casa-en-pre-venta-en-la-marina-puerto-cancun-_JM,"$20,400,000",Cancún/Benito Juárez,Puerto Cancún,251 m²,454 m²,,3,4,4,0 años,,,0 MXN,,,,,,,,,,,,,,,,,,
1416126612,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416126612-casa-en-venta-de-3-habitaciones-en-residencial-con-acabados-de-lujo-en-quintana-roo-_JM,"U$S250,200",Othon P Blanco,Palmar,271 mÂ²,161 mÂ²,,,,2,,3,3,,0 aÃ±os,,,,,,,,,,,,,,,,,
1419807084,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1419807084-casa-en-venta-residencial-las-americas-benito-juarez-quintana-roo-_JM,"$1,300,000",Cancún/Benito Juárez,Supermanzana 57,74 m²,84 m²,,2,1,1,20 años,,,,,,,,,,,,,,,,,,,,,
1416252719,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416252719-casa-en-venta-de-3-recamaras-en-privada-en-avenida-huayacan-cerca-de-cumbres-_JM,"$2,585,375",Cancún/Benito Juárez,Supermanzana 312,130 m²,136 m²,,3,2,2,0 años,,,,,,,,,,,,,,,,,,,,,
1416245887,quintana-roo,pre,https://casa.metroscubicos.com/MLM-1416245887-pre-venta-casa-modelo-magnus-en-terramagna-residencial-_JM,"$2,450,000",Cancún/Benito Juárez,Supermanzana 320,126 m²,145 m²,,3,2,2,0 años,,,,,,,,,,,,,,,,,,,,,
1418969612,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418969612-casa-en-venta-en-cancun-residencial-villas-lagoon-el-table-_JM,"$15,000,000",Cancún/Benito Juárez,Supermanzana 4 Centro,407 m²,437 m²,7,3,3,2,10 años,,,,,,,,,,,,,,,,,,,,,
1416195545,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1416195545-venta-de-departamento-en-residencial-puerto-cancun-en-cancun-quintana-roo-_JM,"U$S1,875,000",Cancún/Benito Juárez,Zona Hotelera,670 m²,395 m²,,4,5,4,0 años,,,,,,,,,,,,,,,,,,,,,
1418899669,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418899669-casa-en-venta-en-cancun-lagos-del-sol-residencial-_JM,"$9,200,000",CancÃºn/Benito JuÃ¡rez,Lagos del Sol,389 mÂ²,388 mÂ²,8,,,2,,3,4,,,,,,,,,,,,,,,,,,,
1416252933,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1416252933-venta-de-casa-en-quintas-kanavayen-en-cancun-quintana-roo-_JM,"$2,200,000",Othon P Blanco,Andrés Quintana Roo,140 m²,170 m²,,3,2,2,0 años,,,,,,,,,,,,,,,,,,,,,
1418836357,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418836357-casa-en-venta-en-cancun-cumbres-residencial-_JM,"$13,500,000",CancÃºn/Benito JuÃ¡rez,Residencial Cumbres,642 mÂ²,510 mÂ²,12,,,4,,5,6,,8 aÃ±os,,,,,,,,,,,,,,,,,
1421606290,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1421606290-venta-de-casa-en-supermanzana-228-al-norte-de-cancun-_JM,"$1,180,000",Cancún/Benito Juárez,Región 228,168 m²,145 m²,,3,3,2,16 años,,,,,,,,,,,,,,,,,,,,,
1416126631,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1416126631-venta-de-casa-en-esquina-dentro-de-residencial-cancun-benito-juarez-quintana-roo-_JM,"$6,600,000",Cancún/Benito Juárez,Supermanzana 327,213 m²,290 m²,,4,4,2,0 años,,,,,,,,,,,,,,,,,,,,,
1416233440,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1416233440-venta-de-casa-dentro-de-exclusivo-residencial-cerca-de-av-huayacan-cancun-quintana-roo-_JM,"$5,600,000",Cancún/Benito Juárez,Supermanzana 318,191 m²,230 m²,,3,4,2,0 años,,,,,,,,,,,,,,,,,,,,,
1422789181,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1422789181-casa-en-venta-2-pisos-3-recamaras-2-banos-ofrezca-tratamos-_JM,"$1,299,999",Chetumal,Chetumal Centro,160 m²,160 m²,1,3,2,1,,,,,,2,1,,,,,,,,,,,,,,,
1408350207,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1408350207-casa-en-venta-en-cancun-poligono-sur-av-la-rioja-a-7km-de-la-playa-_JM,"$2,420,000",Cancún/Benito Juárez,Polígono Sur,145 m²,133 m²,,3,2,2,0 años,,,,,2,,,,,,,,,,,,,,,,
1416265268,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416265268-casa-en-venta-en-velamar-_JM,"$1,840,000",Othon P Blanco,Fidel Velázquez Infonavit,117 m²,97 m²,,3,2,1,4 años,,,,,,,,,,,,,,,,,,,,,
1416190645,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416190645-casa-en-venta-ubicada-en-residencial-arbolada-cancun-quintana-roo-_JM,"$3,850,000",Cancún/Benito Juárez,Arboledas,120 m²,150 m²,,3,3,,0 años,,,,,,,,,,,,,,,,,,,,,
1421424821,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1421424821-casa-impactante-en-villamagna-cancun-_JM,"U$S1,150,000",Cancún/Benito Juárez,Alfredo V Bonfil,795 m²,787 m²,12,3,5,1,10 años,,,200 MXN,,2,2,,,,,,,,,,,,,,,
1416245916,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1416245916-venta-de-casa-en-punta-sam-cancun-quintana-roo-_JM,"U$S1,495,000",Cancún/Benito Juárez,Punta Sam,407 m²,407 m²,,3,3,3,0 años,,,,,,,,,,,,,,,,,,,,,
1416246256,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1416246256-venta-casa-fraccionamiento-la-joya-quintana-roo-_JM,"$670,000",Cancún/Benito Juárez,Supermanzana 253,65 m²,60 m²,,2,1,1,0 años,,,,,,,,,,,,,,,,,,,,,
1411132869,quintana-roo,vendo,https://casa.metroscubicos.com/MLM-1411132869-vendo-casa-amueblada-completamente-_JM,"$10,500,000",Cancún/Benito Juárez,Lagos del Sol (Nueva zona),370 m²,340 m²,,5,6,4,,,,,,,,,,,,,,,,,,,,,,
1399256836,quintana-roo,2,https://casa.metroscubicos.com/MLM-1399256836-2-casas-unidas-y-remodeladas-con-piscina-en-planta-baja-y-roof-en-planta-alta-_JM,"$9,000,000",Solidaridad/Riviera Maya,Residencial Playa Paraíso,568 m²,450 m²,,3,5,4,2 años,,,1600 MXN,,3,,,,,,,,,,,,,,,,
1420824107,quintana-roo,tu,https://casa.metroscubicos.com/MLM-1420824107-tu-casa-en-cancun-_JM,"$3,850,000",Cancún/Benito Juárez,Supermanzana 312,115 m²,188 m²,4,2,3,3,7 años,,,1400 MXN,,3,,Norte,,,,,,,,,,,,,,
1389558168,quintana-roo,se,https://casa.metroscubicos.com/MLM-1389558168-se-vende-lujosa-casa-en-puerto-cancun-c2023-_JM,"U$S4,140,000",Cancún/Benito Juárez,Puerto Cancún,1038 m²,720 m²,,4,4,4,0 años,,,,,,,,,,,,,,,,,,,,,
1319610155,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1319610155-venta-de-casa-en-cancun-sm-313mz-299-c3012-_JM,"$4,500,000",Cancún/Benito Juárez,Alamos I,499.99 m²,639.83 m²,,3,3,2,5 años,,,,,,,,,,,,,,,,,,,,,
1389577448,quintana-roo,se,https://casa.metroscubicos.com/MLM-1389577448-se-vende-lujosa-casa-en-puerto-cancun-c2096-_JM,"U$S4,350,000",Cancún/Benito Juárez,Puerto Cancún,740 m²,1072 m²,,5,5,4,0 años,,,,,,,,,,,,,,,,,,,,,
