ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno
1405619494,campeche,casa,https://casa.metroscubicos.com/MLM-1405619494-casa-en-venta-_JM,"$1,050,000",Carmen,1 De Mayo (Playón),80 m²,,3,2,2,,11 años,,70 m²,,,,,,,,,,,,,,
1405630837,campeche,casa,https://casa.metroscubicos.com/MLM-1405630837-casa-ampliada-en-venta-_JM,"$700,000",Carmen,1 De Mayo (PlayÃ³n),97 mÂ²,,,,1,,,,87 mÂ²,2,1,7 aÃ±os,,,,,,,,,,,
1405625658,campeche,casa,https://casa.metroscubicos.com/MLM-1405625658-casa-en-venta-_JM,"$4,900,000",Carmen,La Esperanza,500 m²,,4,5,4,,11 años,,294 m²,,,,,,,,,,,,,,
963092905,campeche,casa,https://casa.metroscubicos.com/MLM-963092905-casa-ampliacion-enrique-rodriguez-cano-_JM,"$4,500,000",Carmen,Enrique RodrÃ­guez Cano,753 mÂ²,,,,3,1,,0 MXN,300 mÂ²,3,4,4 aÃ±os,,,,,,,,,,,
1405619527,campeche,casa,https://casa.metroscubicos.com/MLM-1405619527-casa-en-venta-col-san-agustin-del-palmar-_JM,"$2,400,000",Carmen,1 De Mayo (Playón),257 m²,,3,2,4,,26 años,,210 m²,,,,,,,,,,,,,,
1400360962,campeche,casa,https://casa.metroscubicos.com/MLM-1400360962-casa-sola-en-venta-cuauhtemoc-_JM,"$2,850,000",Carmen,Cuauhtémoc,300 m²,,4,4,,,0 años,,220 m²,,,,,,,,,,,,,,
1417094483,campeche,casa,https://casa.metroscubicos.com/MLM-1417094483-casa-en-venta-en-residencial-san-miguel-carmen-campeche-dcch-_JM,"$755,625",Carmen,Residencial San Miguel,100 m²,,2,2,1,2,12 años,,120 m²,,,,,,,,,,,,,,
871936743,campeche,casa,https://casa.metroscubicos.com/MLM-871936743-casa-en-venta-malibran-_JM,"$6,000,000",Carmen,Malibran,250 m²,8,4,4,2,,0 años,,200 m²,,,,,,,,,,,,,,
1308564517,campeche,casa,https://casa.metroscubicos.com/MLM-1308564517-casa-habitacion-de-1-recamara-en-villas-de-santa-ana-_JM,"$520,000",Campeche,Carmen,36 m²,,1,1,1,,0 años,,48 m²,,,,,,,,,,,,,,
1411263431,campeche,casa,https://casa.metroscubicos.com/MLM-1411263431-casa-sola-en-venta-residencial-las-palmas-_JM,"$3,000,000",Carmen,Residencial Las Palmas,176 m²,,3,4,,,0 años,,155 m²,,,,,,,,,,,,,,
1384420340,campeche,casa,https://casa.metroscubicos.com/MLM-1384420340-casa-sola-en-venta-san-miguel-_JM,"$1,800,000",Carmen,San Miguel,91 m²,,2,2,,,0 años,,110 m²,,,,,,,,,,,,,,
962970342,campeche,casa,https://casa.metroscubicos.com/MLM-962970342-casa-sola-en-venta-fracc-los-rios-_JM,"$2,800,000",Carmen,Fraccionamiento Los Ríos,165 m²,,3,3,,,0 años,,192 m²,,,,,,,,,,,,,,
963092897,campeche,casa,https://casa.metroscubicos.com/MLM-963092897-casa-enrique-rodriguez-cano-_JM,"$3,200,000",Carmen,Enrique RodrÃ­guez Cano,390 mÂ²,,,,3,1,,0 MXN,,3,2,25 aÃ±os,,,,,,,,,,,
1385447439,campeche,casa,https://casa.metroscubicos.com/MLM-1385447439-casa-sola-en-venta-san-baltazar-campeche-_JM,"$11,000,000",Puebla,San Baltasar Campeche,888 m²,,3,4,,,0 años,,1066 m²,,,,,,,,,,,,,,
865961823,campeche,casa,https://casa.metroscubicos.com/MLM-865961823-casa-en-colonia-francisco-i-madero-en-venta-renta-_JM,"$2,600,000",Carmen,Francisco I Madero,300 m²,7,3,2,1,,0 años,,77 m²,,,,,,,,,,,,,,
1395778245,campeche,casa,https://casa.metroscubicos.com/MLM-1395778245-casa-sola-en-venta-morelos-_JM,"$6,450,000",Carmen,Morelos,590 m²,,4,5,,,5 años,,477 m²,,,,,,,,,,,,,,
1394779856,campeche,casa,https://casa.metroscubicos.com/MLM-1394779856-casa-sola-en-venta-morelos-_JM,"$6,500,000",Carmen,Morelos,600 m²,,4,5,,,0 años,,43592 m²,,,,,,,,,,,,,,
