ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Ambientes,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,OrientaciÃ³n,Orientación,Bodegas,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1422739535,nayarit,casa,https://casa.metroscubicos.com/MLM-1422739535-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S825,000",BahÃ­a De Banderas,Sayulita,3670 mÂ²,312 mÂ²,,,4,3,,0 USD,,3,4,,,,,,,,,,,,,,,,
1425441233,nayarit,venta,https://casa.metroscubicos.com/MLM-1425441233-venta-casa-en-fracc-palma-real-bahia-de-banderas-_JM,"$953,000",Nayarit,Bahía De Banderas,115 m²,,3,2,1,,0 años,0 MXN,,,,,,,,,,,,,,,,,,,
1422707786,nayarit,casa,https://casa.metroscubicos.com/MLM-1422707786-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S1,450,000",BahÃ­a De Banderas,San Francisco,5665 mÂ²,432 mÂ²,,,,3,,0 USD,,8,6,,,,,,,,,,,,,,,,
1422751197,nayarit,casa,https://casa.metroscubicos.com/MLM-1422751197-casa-en-venta-compostela-nayarit-_JM,"U$S175,000",Compostela,La PeÃ±ita De Jaltemba Centro,250 mÂ²,500 mÂ²,,,2,2,,0 USD,,5,2,,,,,,,,,,,,,,,,
1422733346,nayarit,casa,https://casa.metroscubicos.com/MLM-1422733346-casa-en-venta-compostela-nayarit-_JM,"U$S185,000",Compostela,Chacala,250 m²,112 m²,3,2,,1,,0 USD,,,,,,,,,,,,,,,,,,,
1422672092,nayarit,casa,https://casa.metroscubicos.com/MLM-1422672092-casa-en-venta-compostela-nayarit-_JM,"U$S339,500",Compostela,La Peñita De Jaltemba Centro,302 m²,330 m²,3,4,2,2,,0 USD,,,,,,,,,,,,,,,,,,,
1422733063,nayarit,casa,https://casa.metroscubicos.com/MLM-1422733063-casa-en-venta-compostela-nayarit-_JM,"U$S397,900",Compostela,La Peñita De Jaltemba Centro,596 m²,743 m²,10,10,,2,,0 USD,,,,,,,,,,,,,,,,,,,
1422708082,nayarit,casa,https://casa.metroscubicos.com/MLM-1422708082-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S408,705",BahÃ­a De Banderas,Nuevo Vallarta,240 mÂ²,247 mÂ²,,,2,2,,0 USD,,4,3,,,,,,,,,,,,,,,,
1424101897,nayarit,venta,https://casa.metroscubicos.com/MLM-1424101897-venta-de-casa-centro-tepicnayarit-_JM,"$837,500",Tepic,Tepic Centro,120 m²,,3,2,2,2,20 años,0 MXN,,,,,,,,,,,,,,,,,,,
1422714026,nayarit,casa,https://casa.metroscubicos.com/MLM-1422714026-casa-en-condominio-en-venta-bahia-de-banderas-nayarit-_JM,"U$S977,500",BahÃ­a De Banderas,Nuevo Vallarta,463 mÂ²,463 mÂ²,,,1,1,,411 USD,,3,4,,,,,,,,,,,,,,,,
1424702301,nayarit,casa,https://casa.metroscubicos.com/MLM-1424702301-casa-en-venta-santiago-ixcuintla-fracc-palma-real-bahia-de-banderas-_JM,"$870,500",Nayarit,Bahía De Banderas,60 m²,,2,1,1,,0 años,0 MXN,,,,,,,,,,,,,,,,,,,
1422701438,nayarit,casa,https://casa.metroscubicos.com/MLM-1422701438-casa-en-venta-compostela-nayarit-_JM,"U$S819,900",Compostela,Rincón De Guayabitos,341 m²,390 m²,5,6,3,2,,0 USD,,,,,,,,,,,,,,,,,,,
1423036994,nayarit,casa,https://casa.metroscubicos.com/MLM-1423036994-casa-sola-en-venta-la-unidad-_JM,"$4,300,000",BahÃ­a De Banderas,La Tercera Edad,141 mÂ²,258 mÂ²,,,,,,,,4,4,9 aÃ±os,,,,,,,,,,,,,,,
1422707999,nayarit,casa,https://casa.metroscubicos.com/MLM-1422707999-casa-en-venta-en-fracc-la-joya-tepic-nay-fc-_JM,"$3,250,000",Tepic,La Joya,160 m²,250 m²,3,2,2,,0 años,,6,,,,,,,,,,,,,,,,,,
1423438007,nayarit,casa,https://casa.metroscubicos.com/MLM-1423438007-casa-en-venta-rio-ixtlan-nayarit-_JM,"$1,420,500",Nayarit,Ixtlan Del RÃ­o,107 mÂ²,,,,1,,,0 MXN,,3,2,0 aÃ±os,,,,,,,,,,,,,,,
1424080247,nayarit,casa,https://casa.metroscubicos.com/MLM-1424080247-casa-sola-en-venta-corales-residencial-_JM,"$2,750,000",Bahía De Banderas,Los Encantos De Valle Dorado Etapa 17,90 m²,121 m²,3,3,,,0 años,,,,,,,,,,,,,,,,,,,,
1422720527,nayarit,casa,https://casa.metroscubicos.com/MLM-1422720527-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S1,695,000",BahÃ­a De Banderas,Nuevo Vallarta,2226 mÂ²,821 mÂ²,,,4,1,,0 USD,,4,4,,,,,,,,,,,,,,,,
1424744023,nayarit,casa,https://casa.metroscubicos.com/MLM-1424744023-casa-fraccionamiento-puerta-del-sol-_JM,"$1,470,000",Nayarit,Xalisco,200 m²,200 m²,3,2,1,2,0 años,0 MXN,3,,,,,,,,,,,,,,,,,,
1422739621,nayarit,casa,https://casa.metroscubicos.com/MLM-1422739621-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S550,000",BahÃ­a De Banderas,Nuevo Vallarta,405 mÂ²,352 mÂ²,,,,2,,0 USD,,4,3,,,,,,,,,,,,,,,,
1422720249,nayarit,casa,https://casa.metroscubicos.com/MLM-1422720249-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S399,990",BahÃ­a De Banderas,Nuevo Vallarta,240 mÂ²,247 mÂ²,,,2,2,,0 USD,,4,3,,,,,,,,,,,,,,,,
1422720530,nayarit,casa,https://casa.metroscubicos.com/MLM-1422720530-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S240,000",BahÃ­a De Banderas,Cruz De Huanacaxtle,540 mÂ²,144 mÂ²,,,,144,,0 USD,,2,1,,,,,,,,,,,,,,,,
1425330408,nayarit,casa,https://casa.metroscubicos.com/MLM-1425330408-casa-sola-en-venta-nuevo-vallarta-_JM,"$2,650,000",BahÃ­a De Banderas,Nuevo Vallarta,113 mÂ²,150 mÂ²,,,,,,,,3,3,0 aÃ±os,,,,,,,,,,,,,,,
1424118581,nayarit,casa,https://casa.metroscubicos.com/MLM-1424118581-casa-sola-en-venta-valle-dorado-_JM,"$2,282,622",Bahía De Banderas,Valle Dorado,84 m²,84 m²,2,3,,,0 años,,,,,,,,,,,,,,,,,,,,
1422739851,nayarit,casa,https://casa.metroscubicos.com/MLM-1422739851-casa-en-venta-compostela-nayarit-_JM,"U$S769,000",Compostela,La PeÃ±ita De Jaltemba Centro,1392 mÂ²,1065 mÂ²,,,3,3,,0 USD,,4,5,,,,,,,,,,,,,,,,
1424161921,nayarit,casa,https://casa.metroscubicos.com/MLM-1424161921-casa-en-venta-en-col-jazmines-tepic-nay-lm-_JM,"$950,000",Tepic,Jazmines,90 mÂ²,90 mÂ²,,,1,,,,3,2,1,0 aÃ±os,,,,,,,,,,,,,,,
1425461817,nayarit,casa,https://casa.metroscubicos.com/MLM-1425461817-casa-sola-en-venta-las-ceibas-_JM,"$2,779,000",Bahía De Banderas,Las Ceibas,184 m²,126 m²,3,2,,,0 años,,,,,,,,,,,,,,,,,,,,
1422726768,nayarit,casa,https://casa.metroscubicos.com/MLM-1422726768-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S342,990",BahÃ­a De Banderas,Nuevo Vallarta,180 mÂ²,228 mÂ²,,,2,2,,0 USD,,3,2,,,,,,,,,,,,,,,,
1422701522,nayarit,casa,https://casa.metroscubicos.com/MLM-1422701522-casa-en-venta-compostela-nayarit-_JM,"U$S594,900",Compostela,Rincón De Guayabitos,954 m²,494 m²,5,4,2,2,,0 USD,,,,,,,,,,,,,,,,,,,
1422714304,nayarit,casa,https://casa.metroscubicos.com/MLM-1422714304-casa-en-venta-compostela-nayarit-_JM,"U$S394,900",Compostela,Rincón De Guayabitos,429 m²,422 m²,5,3,1,2,,0 USD,,,,,,,,,,,,,,,,,,,
1422720535,nayarit,casa,https://casa.metroscubicos.com/MLM-1422720535-casa-en-venta-compostela-nayarit-_JM,"U$S169,000",Compostela,La PeÃ±ita De Jaltemba Centro,121 mÂ²,120 mÂ²,,,1,2,,0 USD,,3,2,,,,,,,,,,,,,,,,
1422720250,nayarit,casa,https://casa.metroscubicos.com/MLM-1422720250-casa-en-venta-compostela-nayarit-_JM,"U$S140,000",Compostela,Rincón De Guayabitos,444 m²,220 m²,4,3,2,2,,0 USD,,,,,,,,,,,,,,,,,,,
1422672145,nayarit,casa,https://casa.metroscubicos.com/MLM-1422672145-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S217,000",Bahía De Banderas,Lo De Marcos,264 m²,165 m²,4,3,1,2,,0 USD,,,,,,,,,,,,,,,,,,,
1422690819,nayarit,casa,https://casa.metroscubicos.com/MLM-1422690819-casa-en-venta-compostela-nayarit-_JM,"U$S175,000",Compostela,Rincón De Guayabitos,157 m²,157 m²,3,2,2,2,,0 USD,,,,,,,,,,,,,,,,,,,
1422713901,nayarit,casa,https://casa.metroscubicos.com/MLM-1422713901-casa-en-venta-san-blas-nayarit-_JM,"U$S500,000",San Blas,Playa De Los Cocos,909 mÂ²,527 mÂ²,,,2,2,,0 USD,,5,6,,,,,,,,,,,,,,,,
1422708083,nayarit,casa,https://casa.metroscubicos.com/MLM-1422708083-casa-en-condominio-en-venta-bahia-de-banderas-nayarit-_JM,"U$S782,000",BahÃ­a De Banderas,Nuevo Vallarta,782 mÂ²,782 mÂ²,,,1,1,,302 USD,,3,4,,,,,,,,,,,,,,,,
1422726772,nayarit,casa,https://casa.metroscubicos.com/MLM-1422726772-casa-en-venta-compostela-nayarit-_JM,"U$S349,000",Compostela,Rincón De Guayabitos,439 m²,283 m²,3,2,2,2,,0 USD,,,,,,,,,,,,,,,,,,,
1422690582,nayarit,casa,https://casa.metroscubicos.com/MLM-1422690582-casa-en-venta-compostela-nayarit-_JM,"U$S260,000",Compostela,RincÃ³n De Guayabitos,780 mÂ²,372 mÂ²,,,1,2,,0 USD,,3,3,,,,,,,,,,,,,,,,
1422720252,nayarit,casa,https://casa.metroscubicos.com/MLM-1422720252-casa-en-venta-bahia-de-banderas-nayarit-_JM,"$3,595,000",Bahía De Banderas,Las Ceibas,110 m²,130 m²,3,3,2,2,,0 MXN,,,,,,,,,,,,,,,,,,,
1422739854,nayarit,casa,https://casa.metroscubicos.com/MLM-1422739854-casa-en-condominio-en-venta-bahia-de-banderas-nayarit-_JM,"U$S1,750,000",BahÃ­a De Banderas,Nuevo Vallarta,553 mÂ²,553 mÂ²,,,1,2,,8850 USD,,4,4,,,,,,,,,,,,,,,,
1422720546,nayarit,casa,https://casa.metroscubicos.com/MLM-1422720546-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S869,000",Bahía De Banderas,Lo De Marcos,1024 m²,328 m²,5,5,3,3,,0 USD,,,,,,,,,,,,,,,,,,,
1422720526,nayarit,casa,https://casa.metroscubicos.com/MLM-1422720526-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S342,990",BahÃ­a De Banderas,Nuevo Vallarta,180 mÂ²,228 mÂ²,,,2,2,,0 USD,,3,2,,,,,,,,,,,,,,,,
1422751354,nayarit,casa,https://casa.metroscubicos.com/MLM-1422751354-casa-en-venta-bahia-de-banderas-nayarit-_JM,"$1,200,000",Bahía De Banderas,Lo De Marcos,495 m²,564 m²,10,12,,2,,0 MXN,,,,,,,,,,,,,,,,,,,
1422707788,nayarit,casa,https://casa.metroscubicos.com/MLM-1422707788-casa-en-venta-compostela-nayarit-_JM,"U$S1,200,000",Compostela,Chacala,1197 m²,990 m²,8,6,2,2,,0 USD,,,,,,,,,,,,,,,,,,,
1422720254,nayarit,casa,https://casa.metroscubicos.com/MLM-1422720254-casa-en-condominio-en-venta-bahia-de-banderas-nayarit-_JM,"U$S790,500",BahÃ­a De Banderas,Nuevo Vallarta,344 mÂ²,344 mÂ²,,,1,1,,5500 USD,,3,4,,,,,,,,,,,,,,,,
1422701525,nayarit,casa,https://casa.metroscubicos.com/MLM-1422701525-casa-en-condominio-en-venta-bahia-de-banderas-nayarit-_JM,"U$S695,000",BahÃ­a De Banderas,Nuevo Vallarta,391 mÂ²,391 mÂ²,,,1,1,,343 USD,,3,4,,,,,,,,,,,,,,,,
1422707783,nayarit,casa,https://casa.metroscubicos.com/MLM-1422707783-casa-en-condominio-en-venta-bahia-de-banderas-nayarit-_JM,"U$S679,150",BahÃ­a De Banderas,Nuevo Vallarta,344 mÂ²,344 mÂ²,,,1,1,,302 USD,,3,4,,,,,,,,,,,,,,,,
1422714024,nayarit,casa,https://casa.metroscubicos.com/MLM-1422714024-casa-en-condominio-en-venta-bahia-de-banderas-nayarit-_JM,"U$S721,650",BahÃ­a De Banderas,Nuevo Vallarta,384 mÂ²,384 mÂ²,,,1,1,,337 USD,,3,4,,,,,,,,,,,,,,,,
1422690577,nayarit,casa,https://casa.metroscubicos.com/MLM-1422690577-casa-en-condominio-en-venta-bahia-de-banderas-nayarit-_JM,"U$S701,250",BahÃ­a De Banderas,Nuevo Vallarta,347 mÂ²,347 mÂ²,,,1,1,,5500 USD,,3,4,,,,,,,,,,,,,,,,
1422714023,nayarit,casa,https://casa.metroscubicos.com/MLM-1422714023-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S85,000",Bahía De Banderas,Las Ceibas,73 m²,73 m²,2,1,1,1,,0 USD,,,,,,,,,,,,,,,,,,,
1422714022,nayarit,casa,https://casa.metroscubicos.com/MLM-1422714022-casa-en-condominio-en-venta-compostela-nayarit-_JM,"U$S98,000",Compostela,La PeÃ±ita De Jaltemba Centro,33 mÂ²,33 mÂ²,,,,1,,0 USD,,1,1,,,,,,,,,,,,,,,,
1422707776,nayarit,casa,https://casa.metroscubicos.com/MLM-1422707776-casa-en-venta-bahia-de-banderas-nayarit-_JM,"$159,000",Nayarit,Bahía De Banderas,83 m²,83 m²,1,1,1,1,,0 MXN,,,,,,,,,,,,,,,,,,,
1422713940,nayarit,casa,https://casa.metroscubicos.com/MLM-1422713940-casa-en-condominio-en-venta-bahia-de-banderas-nayarit-_JM,"U$S816,000",BahÃ­a De Banderas,Nuevo Vallarta,345 mÂ²,345 mÂ²,,,1,1,,5520 USD,,3,4,,,,,,,,,,,,,,,,
1422720175,nayarit,casa,https://casa.metroscubicos.com/MLM-1422720175-casa-en-venta-bahia-de-banderas-nayarit-_JM,"$640,000",BahÃ­a De Banderas,Flamingos Club Residencial,163 mÂ²,163 mÂ²,,,1,7,,0 MXN,,2,3,,,,,,,,,,,,,,,,
943306190,nayarit,casa,https://casa.metroscubicos.com/MLM-943306190-casa-en-venta-las-brisas-nayarit-sls-_JM,"$353,441",Tepic,Las Brisas,75 mÂ²,130 mÂ²,,,1,,,,,2,2,,,,,,,,,,,,,,,,
869921209,nayarit,remate,https://casa.metroscubicos.com/MLM-869921209-remate-casa-en-venta-en-col-santa-teresita-tepic-_JM,"$1,500,000",Tepic,Santa Teresita,200 m²,1 m²,4,3,2,,0 años,,7,,,,,,,,,,,,,,,,,,
932245263,nayarit,casa,https://casa.metroscubicos.com/MLM-932245263-casa-en-venta-en-col-san-juan-tepic-nay-_JM,"$2,995,000",Tepic,San Juan,300 m²,430 m²,4,2,2,,0 años,,7,,,,,,,,,,,,,,,,,,
758169535,nayarit,casa,https://casa.metroscubicos.com/MLM-758169535-casa-en-venta-compostela-nayarit-_JM,"U$S149,000",Compostela,RincÃ³n De Guayabitos,635 mÂ²,400 mÂ²,,,1,1,,0 USD,,2,1,,,,,,,,,,,,,,,,
1333718719,nayarit,casa,https://casa.metroscubicos.com/MLM-1333718719-casa-en-venta-en-punta-de-mita-puerto-vallarta-nayarit-_JM,"$59,000,000",Bahía De Banderas,Punta De Mita,1800 m²,1200 m²,6,4,8,,0 años,,12,,,,,,,,,,,,,,,,,,
943296396,nayarit,casa,https://casa.metroscubicos.com/MLM-943296396-casa-en-venta-avenida-universidad-tepic-sls-_JM,"$1,886,100",Tepic,Ciudad Del Valle,250 m²,310 m²,3,2,1,,,,,,,,,,,,,,,,,,,,,,
1390392111,nayarit,casa,https://casa.metroscubicos.com/MLM-1390392111-casa-en-la-playa-con-privacidad-y-tranquilidad-playa-tortugas-riviera-nayarit-_JM,"U$S525,000",Compostela,Otates Y Cantarranas,1464 mÂ²,294 mÂ²,,,,1,,,,3,3,,,,,,,,,,,,,,,,
1333699294,nayarit,casa,https://casa.metroscubicos.com/MLM-1333699294-casa-en-venta-en-punta-de-mita-puerto-vallarta-nayarit-_JM,"U$S2,950,000",BahÃ­a De Banderas,Punta De Mita,1800 mÂ²,1200 mÂ²,,,8,,,,12,6,4,0 aÃ±os,,,,,,,,,,,,,,,
1357386700,nayarit,bonita,https://casa.metroscubicos.com/MLM-1357386700-bonita-casa-en-venta-nayarit-col-petrolera-_JM,"$4,200,000",Coatzacoalcos,Petrolera,450 m²,450 m²,3,2,2,,0 años,0 MXN,,,,,,,,,,,,,,,,,,,
