ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1362171514,oaxaca,casa,https://casa.metroscubicos.com/MLM-1362171514-casa-en-venta-en-zipolite-_JM,"$6,000,000",San Pedro Pochutla,Playa Zipolite,149 m²,220 m²,,3,4,1,,0 años,,,,,,,,,,,,,,,,,,,
927036073,oaxaca,casa,https://casa.metroscubicos.com/MLM-927036073-casa-costa-verde-_JM,"$900,000",San Juan Bautista Tuxtepec,Costa Verde,200 m²,,,2,1,4,,0 años,0 MXN,,,,,,,,,,,,,,,,,,
1335873407,oaxaca,casa,https://casa.metroscubicos.com/MLM-1335873407-casa-en-venta-en-la-chigulera-san-felipe-del-agua-oaxaca-de-juarez-_JM,"$3,392,000",Oaxaca De Juárez,San Felipe Del Agua 1,151 m²,164 m²,,3,2,1,,7 años,,,,,,,,,,,,,,,,,,,
1362165652,oaxaca,casa,https://casa.metroscubicos.com/MLM-1362165652-casa-en-venta-en-huatulco-oaxaca-mexico-mirador-chahue-_JM,"U$S2,790,000",Oaxaca,Santa Maria Huatulco,670 m²,,,5,6,1,,4 años,0 MXN,,,,,,,2,,,,,,,,,,,
1364544365,oaxaca,casa,https://casa.metroscubicos.com/MLM-1364544365-casa-en-venta-amueblada-arrocito-oaxaca-mexico-_JM,"U$S749,000",Santa Maria Huatulco,El Arrocito,873 mÂ²,,,,,2,,,8500 MXN,3,4,,13 aÃ±os,,,,,,,,,,,,,,
927036234,oaxaca,casa,https://casa.metroscubicos.com/MLM-927036234-casa-fraccionamiento-los-angeles-_JM,"$2,300,000",Oaxaca,San Juan Bautista Tuxtepec,350 m²,,,3,2,3,,0 años,0 MXN,,,,,,,,,,,,,,,,,,
1335831113,oaxaca,en,https://casa.metroscubicos.com/MLM-1335831113-en-venta-casa-en-la-colonia-forestal-oaxaca-oaxaca-_JM,"$2,500,000",Oaxaca De Juárez,Forestal,200 m²,100 m²,,3,3,5,,10 años,,,,,,,,,,,,,,,,,,,
1408073612,oaxaca,propiedad,https://casa.metroscubicos.com/MLM-1408073612-propiedad-con-vista-al-mar-_JM,"$2,200,000",San Pedro Pochutla,Playa Zipolite,810 m²,350 m²,,1,1,,,0 años,,,,,,,,,,,,,,,,,,,
1357768876,oaxaca,casa,https://casa.metroscubicos.com/MLM-1357768876-casa-en-condominio-puerto-bambu-_JM,"$5,304,194",Oaxaca,Villa de Tututepec de Melchor Ocampo,152 mÂ²,,,,,2,,,0 MXN,3,3,,0 aÃ±os,,,,,,,,,,,,,,
927036212,oaxaca,casa,https://casa.metroscubicos.com/MLM-927036212-casa-san-juan-bautista-tuxtepec-_JM,"$1,150,000",Oaxaca,San Juan Bautista Tuxtepec,200 mÂ²,,,,,,,,0 MXN,4,2,,3 aÃ±os,,,3,,,,,,,,,,,
1325940363,oaxaca,casa,https://casa.metroscubicos.com/MLM-1325940363-casa-sola-en-venta-sector-n-_JM,"$5,500,000",Santa Maria Huatulco,Sector C,250 m²,250 m²,,3,5,,,0 años,,,,,,,,,,,,,,,,,,,
1362210218,oaxaca,hermosa,https://casa.metroscubicos.com/MLM-1362210218-hermosa-casa-en-venta-en-el-maravilloso-puerto-de-salina-cruz-_JM,"$950,000",Salina Cruz,Santa Rosa,273 m²,150 m²,,4,2,,,20 años,,,,,,,,,,,,,,,,,,,
1305979789,oaxaca,casa,https://casa.metroscubicos.com/MLM-1305979789-casa-san-juan-bautista-tuxtepec-_JM,"$3,000,000",Oaxaca,San Juan Bautista Tuxtepec,540 mÂ²,,,,,,,,0 MXN,,2,,10 aÃ±os,,,2,,,,,,,,,,,
1335861696,oaxaca,en,https://casa.metroscubicos.com/MLM-1335861696-en-venta-hermosa-casa-en-oaxaca-de-juarez-oaxaca-_JM,"$2,200,000",Oaxaca De Juárez,Reforma,50 m²,110 m²,,4,4,1,,5 años,,,,,,,,,,,,,,,,,,,
1363071563,oaxaca,casa,https://casa.metroscubicos.com/MLM-1363071563-casa-en-venta-en-oaxaca-en-fraccionamiento-la-cascada-_JM,"$24,200,000",Oaxaca De Juárez,La Cascada,1193 m²,1613 m²,,4,5,4,,0 años,,,,,,,,2,,,,,,,,,,,
1371973334,oaxaca,casa,https://casa.metroscubicos.com/MLM-1371973334-casa-en-venta-en-puerto-angel-_JM,"$1,770,000",San Pedro Pochutla,Puerto Ángel,812 m²,90 m²,,2,1,3,,5 años,,,,,,,,,,,,,,,,,,,
921880525,oaxaca,casa,https://casa.metroscubicos.com/MLM-921880525-casa-sola-en-venta-residencial-conejos-_JM,"U$S675,000",Santa Maria Huatulco,Bahía De Conejo,797 m²,200 m²,,4,5,,,0 años,,,,,,,,,,,,,,,,,,,
1335829485,oaxaca,casa,https://casa.metroscubicos.com/MLM-1335829485-casa-en-venta-en-santa-lucia-del-camino-oaxaca-_JM,"$2,500,000",Santa Lucia Del Camino,Santa Lucia Del Camino,135 m²,200 m²,,5,2,,,15 años,,,,,,,,,,,,,,,,,,,
932355338,oaxaca,casa,https://casa.metroscubicos.com/MLM-932355338-casa-sola-en-venta-la-bocana-_JM,"$25,999,980",Oaxaca,Santa Maria Huatulco,50 mÂ²,355 mÂ²,,,,,,,,4,5,,0 aÃ±os,,,,,,,,,,,,,,
1335906161,oaxaca,en,https://casa.metroscubicos.com/MLM-1335906161-en-venta-casa-en-oaxaca-de-juarez-oaxaca-_JM,"$4,000,000",Oaxaca De Juárez,5 Señores,261 m²,300 m²,,3,1,3,,20 años,,,,,,,,,,,,,,,,,,,
1386898725,oaxaca,casa,https://casa.metroscubicos.com/MLM-1386898725-casa-con-alberca-privada-3-recamaras-estudio-doble-altur-_JM,"$10,580,000",Santa Maria Huatulco,Sector O,480 m²,470 m²,7,3,4,,,0 años,,,,,,,,,,,,,,,,,,,
1335880303,oaxaca,bonita,https://casa.metroscubicos.com/MLM-1335880303-bonita-casa-en-venta-en-oaxaca-_JM,"$2,399,000",San Jacinto Amilpas,Arboledas Brenamiel,124 m²,142 m²,,4,3,2,,25 años,650 MXN,,,,,,,,,,,,,,,,,,
1408117721,oaxaca,casa,https://casa.metroscubicos.com/MLM-1408117721-casa-en-huayapam-en-venta-_JM,"$5,500,000",San Andrés Huayapam,San Andrés Huayapam,618 m²,275 m²,,3,2,8,,9 años,,,,1,,,,3,,,,,,,,,,,
1408079582,oaxaca,residencia,https://casa.metroscubicos.com/MLM-1408079582-residencia-en-san-agustin-etla-_JM,"$13,400,000",Oaxaca,San Agustin Etla,2889 mÂ²,613 mÂ²,,,,6,,,,5,5,,10 aÃ±os,,,2,,,,,,,,,,,
1364906586,oaxaca,en,https://casa.metroscubicos.com/MLM-1364906586-en-venta-casa-en-el-centro-de-oaxaca-de-juarez-oaxaca-_JM,"$3,800,000",Oaxaca De Juárez,Oaxaca Centro,105 m²,120 m²,,4,1,,,25 años,,,,,,,,,,,,,,,,,,,
1408079623,oaxaca,casa,https://casa.metroscubicos.com/MLM-1408079623-casa-en-huayapam-_JM,"$6,875,000",San Andrés Huayapam,San Andrés Huayapam,750 m²,360 m²,,3,1,,,0 años,,,,,,,,,,,,,,,,,,,
1415964640,oaxaca,venta,https://casa.metroscubicos.com/MLM-1415964640-venta-de-casa-en-la-col-lindavista-pertenece-al-centro-de-oaxaca-_JM,"$8,997,000",Oaxaca De Juárez,Lindavista,417 m²,378 m²,,7,6,,,,,,,,,,,2,,,,,,,,,,,
927039541,oaxaca,casa,https://casa.metroscubicos.com/MLM-927039541-casa-san-juan-bautista-tuxtepec-_JM,"$2,500,000",Oaxaca,San Juan Bautista Tuxtepec,250 m²,,,3,3,2,,5 años,0 MXN,,,,,,,2,,,,,,,,,,,
1420143084,oaxaca,preventa,https://casa.metroscubicos.com/MLM-1420143084-preventa-beachfront-house-puerto-escondido--_JM,"$5,800,000",Villa de Tututepec de Melchor Ocampo,De La Playa,75 mÂ²,165 mÂ²,7,,,1,,,,3,3,,,,,,,,,,,,,,,,
1408174220,oaxaca,casa,https://casa.metroscubicos.com/MLM-1408174220-casa-en-venta-cerca-del-parque-el-llano-oaxaca-_JM,"$10,800,000",Oaxaca De Juárez,Estado Oaxaca,208 m²,250 m²,,5,3,,,0 años,,,,,,,,1,,,,,,,,,,,
927036242,oaxaca,casa,https://casa.metroscubicos.com/MLM-927036242-casa-fraccionamiento-las-palmas-del-ingenio-_JM,"$1,500,000",Oaxaca,San Juan Bautista Tuxtepec,200 m²,,,3,2,2,,0 años,0 MXN,,,,,,,,,,,,,,,,,,
1362210230,oaxaca,bonita,https://casa.metroscubicos.com/MLM-1362210230-bonita-propiedad-en-venta-en-salinas-del-marques-_JM,"$800,000",Salina Cruz,Salina Del Marques,386 mÂ²,90 mÂ²,,,,,,,,1,1,,1 aÃ±os,,,,,,,,,,,,,,
937274043,oaxaca,casa,https://casa.metroscubicos.com/MLM-937274043-casa-sola-en-venta-la-crucecita-_JM,"U$S3,290,000",Santa Maria Huatulco,El Crucero,2421 m²,670 m²,,5,7,,,0 años,,,,,,,,,,,,,,,,,,,
927036261,oaxaca,casa,https://casa.metroscubicos.com/MLM-927036261-casa-san-juan-bautista-tuxtepec-_JM,"$6,500,000",Oaxaca,San Juan Bautista Tuxtepec,1500 m²,,,3,3,4,,0 años,0 MXN,,,,,,Sur,1,,,,,,,,,,,
1323802028,oaxaca,casa,https://casa.metroscubicos.com/MLM-1323802028-casa-sola-en-venta-san-pedro-pochutla-centro-_JM,"U$S329,000",San Pedro Pochutla,San Pedro Pochutla,1498 m²,1498 m²,,2,2,,,0 años,,,,,,,,,,,,,,,,,,,
927036007,oaxaca,casa,https://casa.metroscubicos.com/MLM-927036007-casa-san-juan-bautista-tuxtepec-_JM,"$1,500,000",Oaxaca,San Juan Bautista Tuxtepec,140 m²,,,3,1,1,,15 años,0 MXN,,,,,,Sur,2,,,,,,,,,,,
1335842084,oaxaca,en,https://casa.metroscubicos.com/MLM-1335842084-en-venta-bonita-casa-en-tlalixtac-de-cabrera-oaxaca-_JM,"$2,700,000",Tlalixtac De Cabrera,Tlalixtac De Cabrera,375 mÂ²,120 mÂ²,,,,2,,,,1,1,,15 aÃ±os,,,,,,,,,,,,,,
1335824079,oaxaca,en,https://casa.metroscubicos.com/MLM-1335824079-en-venta-casa-en-san-pablo-etla-oaxaca-_JM,"$3,500,000",San Pablo Etla,El Manantial,800 mÂ²,140 mÂ²,,,,3,,,,2,1,,0 aÃ±os,,,,,,,,,,,,,,
1382586939,oaxaca,en,https://casa.metroscubicos.com/MLM-1382586939-en-venta-casa-en-colonia-lomas-de-santa-ana-tlacolula-oaxaca-_JM,"$1,150,000",Tlacolula De Matamoros,Tlacolula De Matamoros,200 mÂ²,100 mÂ²,,,,2,,,,3,2,,5 aÃ±os,,,,,,,,,,,,,,
741226763,oaxaca,bonita,https://casa.metroscubicos.com/MLM-741226763-bonita-residencia-en-tlalixtac-de-cabrera-_JM,"$10,600,000",Tlalixtac De Cabrera,Tlalixtac De Cabrera,1200 mÂ²,350 mÂ²,,,,3,,,,2,3,,,,,,,,,,,,,,,,
