ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Antigüedad,Orientación,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Ambientes,Cantidad de pisos,OrientaciÃ³n,Bodegas,Tipo de casa,Tipo de propiedad,Número de piso de la unidad,Disposición,Departamentos por piso,Acceso,Forma del terreno,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Disposición del lote
1417980998,tabasco,casa,https://casa.metroscubicos.com/MLM-1417980998-casa-sola-en-venta-residencial-real-de-palmas-_JM,"$2,120,000",Tabasco,Centro,105 m²,147 m²,3,3,,4 años,,,,,,,,,,,,,,,,,,,,
1402438223,tabasco,casa,https://casa.metroscubicos.com/MLM-1402438223-casa-sola-en-venta-la-parrilla-2da-secc-la-lima-_JM,"$1,650,000",Centro,Anacleto Canabal 2da. Sección,246 m²,188 m²,3,3,,0 años,,,,,,,,,,,,,,,,,,,,
1400465045,tabasco,casa,https://casa.metroscubicos.com/MLM-1400465045-casa-sola-en-venta-rancheria-el-pajonal-_JM,"$850,000",Tabasco,Centro,120 m²,68 m²,2,1,,0 años,,,,,,,,,,,,,,,,,,,,
1400490524,tabasco,casa,https://casa.metroscubicos.com/MLM-1400490524-casa-sola-en-venta-residencial-deportiva-_JM,"$3,999,000",Tabasco,Centro,289 m²,251 m²,3,4,,22 años,,,,,,,,,,,,,,,,,,,,
1400490508,tabasco,casa,https://casa.metroscubicos.com/MLM-1400490508-casa-sola-en-venta-fraccionamiento-ocuiltzapotlan-ii-_JM,"$2,700,000",Centro,Casa Blanca 1a Sección,127 m²,380 m²,4,4,,7 años,,,,,,,,,,,,,,,,,,,,
1396094716,tabasco,casa,https://casa.metroscubicos.com/MLM-1396094716-casa-sola-en-venta-fracc-sol-campestre-_JM,"$3,850,000",Tabasco,Centro,160 m²,260 m²,3,4,,0 años,,,,,,,,,,,,,,,,,,,,
1323999837,tabasco,casas,https://casa.metroscubicos.com/MLM-1323999837-casas-en-venta-en-ixtacomitan-a-seccion-centro-_JM,"$3,900,000",Tabasco,Centro,231 m²,240 m²,4,3,,,,,,,,,,,,,,,,,,,,,,
1388279061,tabasco,casa,https://casa.metroscubicos.com/MLM-1388279061-casa-sola-en-venta-residencial-sol-campestre-_JM,"$3,280,000",Tabasco,Nacajuca,160 m²,226 m²,3,4,,5 años,,,,,,,,,,,,,,,,,,,,
1421692646,tabasco,casa,https://casa.metroscubicos.com/MLM-1421692646-casa-en-venta-en-antara-residencial-_JM,"$1,800,000",Tabasco,Nacajuca,133 m²,125 m²,3,3,2,,,,,,,,,,,,,,,,,,,,,
1406873067,tabasco,casa,https://casa.metroscubicos.com/MLM-1406873067-casa-sola-en-venta-ixtacomitan-4a-seccion-_JM,"$950,000",Tabasco,Centro,160 m²,79 m²,2,1,,0 años,,,,,,,,,,,,,,,,,,,,
