id,entidad,colonia,municipio,codigo_postal,tipo,m2Terreno,m2Construccion,recamaras,banos,medio_bano,Ba�os,estacionamientos,pisos,antiguedad,cuotaMantto,precioSalida,precioVenta
35622,CIUDAD DE MEXICO,DEL RECREO,AZCAPOTZALCO,2070,DEPARTAMENTO,,72,3,2,,2,1,5,ENTRE 21 - 30 AÑOS,,3000000,3000000
35623,CIUDAD DE MEXICO,AVANTE,COYOACAN,4460,CASA,146,80,3,1,1,1.5,,,ENTRE 21 - 30 AÑOS,,1800000,1800000
35631,CIUDAD DE MEXICO,VERTIZ NARVARTE,BENITO JUAREZ,3600,PENT HOUSE,70,180,3,2,1,2.5,2,6,ENTRE 0 - 5 AÑOS,,6300000,6000000
35637,CIUDAD DE MEXICO,MILITAR MARTE,IZTACALCO,8830,DEPARTAMENTO,,60,2,1,,1,1,4,MAS DE 30,,1850000,1850000
35644,CIUDAD DE MEXICO,DEL VALLE NORTE,BENITO JUAREZ,3103,DEPARTAMENTO,,234,3,3,,3,1,11,MAS DE 30,,6950000,6500000
35647,ESTADO DE MEXICO,CIUDAD SATELITE,NAUCALPAN DE JUAREZ,53100,CASA,160,193,3,3,1,3.5,2,2,ENTRE 21 - 30 AÑOS,,4900000,4700000
35649,ESTADO DE MEXICO,JARDINES DE SANTA MONICA,TLALNEPANTLA DE BAZ,54050,CASA,220,258,3,2,1,2.5,,2,ENTRE 21 - 30 AÑOS,,6500000,6000000
35650,ESTADO DE MEXICO,CIUDAD SATéLITE,NAUCALPAN DE JUáREZ,53100,CASA,530,570,4,3,1,3.5,2,3,ENTRE 21 - 30 AÑOS,,12000000,12000000
35651,CIUDAD DE MEXICO,LOS ALPES,ALVARO OBREGON,1010,DEPARTAMENTO,,138,2,2,,2,2,,ENTRE 0 - 5 AÑOS,,5500000,5500000
35652,CIUDAD DE MEXICO,SAN PEDRO DE LOS PINOS,BENITO JUAREZ,3800,DEPARTAMENTO,,55,2,1,,1,,5,MAS DE 30,,1700000,1700000
35655,CIUDAD DE MEXICO,HEROES DE PADIERNA,TLALPAN,14200,TERRENO,150,,,,,0,,,,,2000000,2000000
35656,CIUDAD DE MEXICO,CLAVERIA,AZCAPOTZALCO,2080,DEPARTAMENTO,,85,2,1,,1,,1,ENTRE 21 - 30 AÑOS,NO PRESENTA,2500000,2450000
35660,ESTADO DE MEXICO,VIVEROS DE LA LOMA,TLALNEPANTLA DE BAZ,54080,CASA EN CONDOMINIO,150,180,3,2,1,2.5,3,,ENTRE 11 - 15 AÑOS,1600,3790000,3490000
35664,CIUDAD DE MEXICO,LOMAS DEL PEDREGAL,TLALPAN,14220,TERRENO,300,,,,,0,,,,,1900000,1900000
35669,CIUDAD DE MEXICO,ALIANZA POPULAR REVOLUCIONARIA,COYOACAN,4800,CASA DUPLEX,90,110,3,2,,2,1,2,MAS DE 30,,3000000,2800000
35671,CIUDAD DE MEXICO,EDUCACION,COYOACAN,4400,DEPARTAMENTO,,67,2,1,,1,1,4,MAS DE 30,200,1800000,1800000
35674,CIUDAD DE MEXICO,LOS ALPES,ALVARO OBREGON,1010,CASA EN CONDOMINIO,164,358,4,4,1,4.5,4,,ENTRE 16 - 20 AÑOS,2000,15490000,14900000
