ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote
1425430763,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425430763-casa-en-contry-sol-guadalupe-con-3-recamaras-223-m-id-70711-_JM,"$8,000,000",Nuevo León,Guadalupe,250 m²,223 m²,3,3,5,3,Casa,24 años,0 MXN,,,,,,,,,,,,,,,,,
1425549112,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425549112-casa-en-el-obispo-san-pedro-garza-garcia-con-3-recamaras-150-m-id-65015-_JM,"$3,000,000",San Pedro Garza García,El Obispo,176 m²,150 m²,3,3,3,2,Casa,5 años,0 MXN,,,,,,Norte,,,,,,,,,,,
1425443523,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425443523-casa-en-villas-del-mirador-santa-catarina-con-3-recamaras-147-m-id-70350-_JM,"$1,890,000",Santa Catarina,Villas Del Mirador,90 m²,147 m²,3,3,1,2,Casa,15 años,0 MXN,,,,,,,,,,,,,,,,,
1425443075,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425443075-casa-en-nueva-morelos-monterrey-con-5-recamaras-206-m-id-59216-_JM,"$2,400,000",Monterrey,Nueva Morelos,114 m²,206 m²,5,5,2,1,Casa,30 años,0 MXN,,,,,,,,,,,,,,,,,
1425475501,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425475501-casa-en-infonavit-lomas-de-santa-catarina-santa-catarina-con-3-recamaras-290-m-id-68192-_JM,"$2,700,000",Nuevo León,Santa Catarina,110 m²,290 m²,3,3,2,1,Casa,15 años,300 MXN,,,,,,,,,,,,,,,,,
1425568438,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425568438-casa-en-congregacion-mariano-escobedo-san-nicolas-de-los-garza-con-5-recamaras-192-m-id-64994-_JM,"$1,580,000",Nuevo León,San Nicolás De Los Garza,112 m²,192 m²,5,5,2,,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425542587,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425542587-casa-en-exseminario-monterrey-con-4-recamaras-320-m-id-64525-_JM,"$6,500,000",Monterrey,Exseminario,144 m²,320 m²,4,4,5,2,Casa,12 años,1 MXN,,,,,,,,,,,,,,,,,
1425469470,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425469470-casa-en-bosques-del-valle-monterrey-con-3-recamaras-322-m-id-70204-_JM,"$14,300,000",Nuevo León,Monterrey,371 m²,322 m²,3,3,4,2,Casa,38 años,0 MXN,,,,,,,,,,,,,,,,,
1425535853,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425535853-casa-en-colorines-4o-sector-san-pedro-garza-garcia-con-3-recamaras-291-m-id-63555-_JM,"$11,500,000",Nuevo León,San Pedro Garza García,327 m²,291 m²,3,3,4,3,Casa,12 años,0 MXN,,,1,,,,,,,,,,,,,,
1425542643,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425542643-casa-en-las-villas-guadalupe-con-5-recamaras-240-m-id-64758-_JM,"$2,200,000",Guadalupe,Las Villas,120 m²,240 m²,5,5,4,,Casa,42 años,0 MXN,,,,,,,,,,,,,,,,,
1425456233,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425456233-casa-en-gloria-mendiola-monterrey-con-5-recamaras-150-m-id-68354-_JM,"$1,800,000",Monterrey,Gloria Mendiola,250 mÂ²,150 mÂ²,5,,,1,Casa,,0 MXN,5,1,,14 aÃ±os,,,,,,,,,,,,,
1425549153,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425549153-casa-en-29-de-julio-santa-catarina-con-3-recamaras-187-m-id-73573-_JM,"$10,000,000",Nuevo León,Santa Catarina,570 m²,187 m²,3,3,2,4,Casa,35 años,0 MXN,,,,,,,,,,,,,,,,,
1425568097,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425568097-casa-en-arboledas-del-oriente-guadalupe-con-3-recamaras-224-m-id-71721-_JM,"$4,000,000",Nuevo León,Guadalupe,255 m²,224 m²,3,3,2,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425562188,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425562188-casa-en-privadas-de-santa-catarina-santa-catarina-con-2-recamaras-90-m-id-73146-_JM,"$1,500,000",Santa Catarina,Privadas De Santa Catarina,90 m²,90 m²,2,2,1,2,Casa,23 años,0 MXN,,,,,,,,,,,,,,,,,
1425469171,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425469171-casa-en-mitras-poniente-garcia-con-3-recamaras-127-m-id-76149-_JM,"$2,350,000",García,Mitras Poniente,127 m²,127 m²,3,3,2,1,Casa,7 años,0 MXN,,,,,,,,,,,,,,,,,
