ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Orientación,Antigüedad,Ambientes,Bodegas,Cantidad de pisos,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote
1422720977,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1422720977-casa-en-venta-en-club-de-golf-la-loma-_JM,"$9,500,000",San Luis Potosí,La Loma Club De Golf,308 m²,379 m²,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1422733831,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1422733831-casa-en-venta-en-club-de-golf-la-loma-_JM,"$10,775,000",San Luis Potosí,La Loma Club De Golf,405 m²,429 m²,3,3,3,,,,,,,,,,,,,,,,,,,,,,
1422733484,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1422733484-casa-en-venta-en-las-ramblas-_JM,"$2,760,000",San Luis Potosí,Las Aguilas,129 m²,285 m²,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1422751559,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1422751559-casa-en-venta-en-las-ramblas-_JM,"$2,740,000",San Luis Potosí,Las Aguilas,126 m²,255 m²,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1422714708,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1422714708-casa-en-venta-en-las-ramblas-_JM,"$2,670,000",San Luis Potosí,Las Aguilas,124 m²,240 m²,4,4,2,,,,,,,,,,,,,,,,,,,,,,
1422714648,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1422714648-casa-en-venta-en-las-ramblas-_JM,"$2,650,000",San Luis Potosí,Las Aguilas,120 m²,240 m²,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1422701990,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1422701990-casa-en-venta-en-club-de-golf-la-loma-_JM,"$11,095,000",San Luis Potosí,La Loma Club De Golf,405 m²,444 m²,3,3,3,,,,,,,,,,,,,,,,,,,,,,
1423384322,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1423384322-casa-en-venta-modelo-simaa-en-nueva-zona-residencial-179500000-cerca-de-zona-industrial-san-luis-potosi-_JM,"$1,825,000",San Luis PotosÃ­,Residencial Los Lagos,129 mÂ²,141 mÂ²,,,,,,,,2,,4,3,,,,,,,,,,,,,,
1425430678,san-luis-potosí,monterra,https://casa.metroscubicos.com/MLM-1425430678-monterra-_JM,"$6,700,000",San Luis PotosÃ­,Lomas Del Pedregal,200 mÂ²,330 mÂ²,,,2,,,4,,3,1200 MXN,4,4,Norte,0 aÃ±os,,,,,,,,,,,,
1424199371,san-luis-potosí,mexquitic,https://casa.metroscubicos.com/MLM-1424199371-mexquitic-_JM,"$2,500,000",Mexquitic De Carmona,Mexquitic,405.58 m²,145 m²,2,2,3,Norte,0 años,2,,1,0 MXN,,,,,,,,,,,,,,,,
1426247341,san-luis-potosí,tu,https://casa.metroscubicos.com/MLM-1426247341-tu-proximo-hogar-en-valle-real-2-en-privada-con-amenidades-y-doble-seguridad-_JM,"$1,890,000",San Luis Potosí,San Luis Potosí,120 m²,172 m²,3,2,,,,,,,,,,,,,,,,,,,,,,,
1424141539,san-luis-potosí,rinconada,https://casa.metroscubicos.com/MLM-1424141539-rinconada-b-anaya-_JM,"$1,100,000",Soledad De Graciano Sánchez,Hogares Obreros,90 m²,180 m²,3,2,,Norte,15 años,3,,2,0 MXN,,,,,,,,,,,,,,,,
