tipo,precio,predPrices,m2Terreno,m2Construccion,estacionamientos,Banos,antiguedad,colonia,municipio_x,entidad,codigo_postal,latitud,longitud
departamentos,2850000.0,3790000.0,88.0,88.0,1.0,2.0,0.0,Ciudad Santa Rosa,Tijuana,Baja California,,,
departamentos,7653300.0,6450000.0,129.0,129.0,0.0,3.0,1.0,Madero Sur,Tijuana,Baja California,22046.0,32.5078964233398,-117.0292739868164
departamentos,3712000.0,2350000.0,58.0,58.0,1.0,1.0,0.0,Calete,Tijuana,Baja California,22044.0,32.516529083252,-117.0164794921875
departamentos,3696000.0,3710000.0,164.0,164.0,2.0,2.0,0.0,Zona Centro,Tijuana,Baja California,22000.0,32.5350112915039,-117.0426177978516
departamentos,6500000.0,3270000.0,62.0,62.0,1.0,1.0,0.0,Agua Caliente,Tijuana,Baja California,22024.0,32.5001106262207,-116.9913940429688
departamentos,4582000.0,4480000.0,107.0,107.0,0.0,2.0,0.0,Jardines De Agua Caliente,Tijuana,Baja California,,,
departamentos,4480000.0,6710000.0,142.0,142.0,0.0,2.0,0.0,El Tezal,Los Cabos,Baja California,,,
departamentos,3403355.0,3810000.0,91.0,91.0,0.0,1.0,0.0,Jardines De Agua Caliente,Tijuana,Baja California,,,
departamentos,6600000.0,5550000.0,110.0,110.0,0.0,2.0,0.0,Madero Cacho,Tijuana,Baja California,22040.0,32.5196876525879,-117.0272064208984
departamentos,4613000.0,6690000.0,127.0,127.0,0.0,2.0,0.0,Jardines De Agua Caliente,Tijuana,Baja California,,,
departamentos,3300000.0,2620000.0,70.0,70.0,1.0,1.0,0.0,Aviación,Tijuana,Baja California,21230.0,32.6521682739258,-115.4489288330078
departamentos,3300000.0,2620000.0,70.0,70.0,1.0,1.0,0.0,Aviación,Tijuana,Baja California,22014.0,32.5128135681152,-117.0005340576172
departamentos,3300000.0,2620000.0,70.0,70.0,1.0,1.0,0.0,Aviación,Tijuana,Baja California,22840.0,31.8644790649414,-116.6012268066406
departamentos,4660000.0,6440000.0,130.0,130.0,0.0,2.0,1.0,Hipodromo 2,Tijuana,Baja California,,,
departamentos,5735225.0,5830000.0,183.0,183.0,0.0,1.0,0.0,Jardines De Agua Caliente,Tijuana,Baja California,,,
departamentos,3899980.0,4680000.0,83.0,83.0,0.0,1.0,0.0,Cumbres Del Tezal,Los Cabos,Baja California,,,
departamentos,3700000.0,3630000.0,97.0,97.0,2.0,2.0,0.0,El Rubí,Tijuana,Baja California,22626.0,32.4898147583008,-117.0335311889648
departamentos,7264600.0,5830000.0,169.0,169.0,2.0,2.0,0.0,Agua Caliente,Tijuana,Baja California,22024.0,32.5001106262207,-116.9913940429688
departamentos,4499980.0,4940000.0,127.0,127.0,0.0,1.0,0.0,Cumbres Del Tezal,Los Cabos,Baja California,,,
departamentos,3508000.0,4040000.0,100.0,100.0,0.0,2.0,0.0,El Tezal,Los Cabos,Baja California,,,
departamentos,3659980.0,4680000.0,83.0,83.0,0.0,1.0,0.0,El Tezal,Los Cabos,Baja California,,,
departamentos,3520000.0,3710000.0,164.0,164.0,2.0,2.0,0.0,Zona Norte,Tijuana,Baja California,22000.0,32.5350112915039,-117.0426177978516
departamentos,3662842.0,4120000.0,91.0,91.0,0.0,2.0,0.0,Jardines De Agua Caliente,Tijuana,Baja California,,,
departamentos,4262000.0,4480000.0,107.0,107.0,0.0,2.0,0.0,Jardines De Agua Caliente,Tijuana,Baja California,,,
departamentos,7264600.0,5830000.0,169.0,169.0,2.0,2.0,0.0,Agua Caliente,Tijuana,Baja California,22024.0,32.5001106262207,-116.9913940429688
departamentos,10520000.0,6300000.0,111.0,111.0,0.0,2.0,1.0,El Sauzal,Ensenada,Baja California,21379.0,32.6239891052246,-115.4131011962891
departamentos,10520000.0,6300000.0,111.0,111.0,0.0,2.0,1.0,El Sauzal,Ensenada,Baja California,22760.0,31.9023036956787,-116.7032012939453
departamentos,5592328.0,3860000.0,83.0,83.0,2.0,2.0,0.0,Madero Cacho,Tijuana,Baja California,22040.0,32.5196876525879,-117.0272064208984
departamentos,9778800.0,8580000.0,173.0,173.0,0.0,3.0,0.0,Cabo San Lucas Centro,Los Cabos,Baja California,,,
departamentos,8319960.0,6630000.0,135.0,135.0,0.0,2.0,0.0,Cabo San Lucas Centro,Los Cabos,Baja California,,,
departamentos,5120000.0,6080000.0,110.0,110.0,0.0,2.0,1.0,Hipódromo Dos,Tijuana,Baja California,22195.0,32.494758605957,-116.9843215942383
departamentos,3863966.0,4080000.0,105.0,105.0,0.0,2.0,0.0,Jardines De Agua Caliente,Tijuana,Baja California,,,
departamentos,3858000.0,2060000.0,56.0,56.0,0.0,1.0,0.0,Zona Urbana Río Tijuana,Tijuana,Baja California,22010.0,32.5417251586914,-117.0317306518555
departamentos,3100000.0,3430000.0,79.0,79.0,1.0,2.0,0.0,Río Tijuana 3a Etapa,Tijuana,Baja California,22226.0,32.4681701660156,-116.9208679199219
departamentos,3209353.0,3330000.0,71.0,71.0,1.0,1.0,0.0,Zona Urbana Río Tijuana,Tijuana,Baja California,22010.0,32.5417251586914,-117.0317306518555
departamentos,8858000.0,5580000.0,181.0,181.0,2.0,2.0,0.0,Playas De Tijuana,Tijuana,Baja California,,,
departamentos,2200000.0,4250000.0,112.0,112.0,0.0,1.0,0.0,Heroe De Nacozari,Mexicali,Baja California,,,
departamentos,4174000.0,3540000.0,78.0,78.0,1.0,1.0,0.0,Calete,Tijuana,Baja California,22044.0,32.516529083252,-117.0164794921875
departamentos,5829154.0,4900000.0,139.0,139.0,2.0,2.0,4.0,Madero Cacho,Tijuana,Baja California,22040.0,32.5196876525879,-117.0272064208984
departamentos,2790000.0,3260000.0,75.0,75.0,0.0,2.0,0.0,Plaza del Mar,Playas De Rosarito,Baja California,22746.0,32.1227722167969,-116.883903503418
departamentos,3200000.0,3720000.0,96.0,96.0,2.0,1.0,0.0,Juárez,Tijuana,Baja California,22040.0,32.5196876525879,-117.0272064208984
departamentos,2587500.0,2330000.0,45.0,45.0,1.0,1.0,0.0,Zona Centro,Tijuana,Baja California,22000.0,32.5350112915039,-117.0426177978516
departamentos,4860000.0,4920000.0,135.0,135.0,2.0,2.0,0.0,Hipódromo Dos,Tijuana,Baja California,22195.0,32.494758605957,-116.9843215942383
departamentos,37740000.0,19870000.0,218.0,218.0,0.0,3.0,0.0,Cabo San Lucas Centro,Los Cabos,Baja California,,,
departamentos,33300000.0,15390000.0,260.0,260.0,0.0,4.0,0.0,Cabo San Lucas Centro,Los Cabos,Baja California,,,
departamentos,3524394.0,4440000.0,110.0,110.0,2.0,2.0,1.0,Alba Roja Infonavit,Tijuana,Baja California,,,
departamentos,27500000.0,15740000.0,294.0,294.0,0.0,3.0,0.0,Cabo San Lucas Centro,Los Cabos,Baja California,,,
departamentos,2735000.0,4099999.9999999995,82.0,82.0,2.0,2.0,0.0,Maurilio Magallón,Tijuana,Baja California,22116.0,32.4853630065918,-116.9509582519531
departamentos,2272500.0,2690000.0,45.0,45.0,0.0,1.0,0.0,Zona Centro,Tijuana,Baja California,22000.0,32.5350112915039,-117.0426177978516
