ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad,Tipo de departamento,Fecha de entrega
1425725252,durango,se,https://casa.metroscubicos.com/MLM-1425725252-se-vende-casa-en-loma-dorada-diamante-_JM,"$18,216,000",Durango,Loma Dorada Diamante,1097 m²,,5,10,8,2,12 años,,993 m²,,,,,,,,,,,,,,,,,,,,,
1425776971,durango,casa,https://casa.metroscubicos.com/MLM-1425776971-casa-en-venta-fraccionamiento-haciendas-campestre-_JM,"$22,995,000",Durango,Haciendas Del Campestre,740 m²,,4,3,2,2,2 años,,886 m²,,,,,,,,,,,,,,,,,,,,,
1425725218,durango,residencia,https://casa.metroscubicos.com/MLM-1425725218-residencia-en-venta-fraccionamiento-villas-campestre-frente-al-campo-de-golf-_JM,"$21,000,000",Durango,Villas Campestre,1273 m²,,5,7,6,2,0 años,,985 m²,,,,,,,,,,,,,,,,,,,,,
1425738252,durango,estrenala,https://casa.metroscubicos.com/MLM-1425738252-estrenala-casa-en-venta-con-recamara-en-planta-baja-privadas-del-parque-_JM,"$3,620,000",Durango,Fraccionamiento Privadas del Sahuatoba,180 m²,,3,3,2,2,0 años,,303 m²,,,,,,,,,,,,,,,,,,,,,
1425738280,durango,casa,https://casa.metroscubicos.com/MLM-1425738280-casa-en-venta-recamara-en-planta-baja-residencial-los-laureles-_JM,"$3,650,000",Durango,Residencial los Laureles,339 mÂ²,,,,3,2,,,285 mÂ²,3,3,0 aÃ±os,,,,,,,,,,,,,,,,,,
1425725228,durango,amplia,https://casa.metroscubicos.com/MLM-1425725228-amplia-casa-en-venta-con-recamara-planta-baja-fraccionamiento-senderos-ii-_JM,"$4,250,000",Durango,Senderos,222 m²,,4,3,2,,0 años,,361 m²,,,,,1,,,,,,,,,,,,,,,,
1425776982,durango,se,https://casa.metroscubicos.com/MLM-1425776982-se-vende-propiedad-en-villas-campestre-_JM,"$19,999,999",Durango,Villas Campestre,2047 m²,,6,5,6,,0 años,,1136 m²,,,,,1,,,,,,,,,,,,,,,,
1425744679,durango,casas,https://casa.metroscubicos.com/MLM-1425744679-casas-en-venta-privada-residencial-rincon-de-luna-_JM,"$2,300,000",Durango,20 De Noviembre Fundo Legal,126 m²,,3,2,2,2,0 años,,154 m²,,,,,,,,,,,,,,,,,,,,,
1425744670,durango,acogedora,https://casa.metroscubicos.com/MLM-1425744670-acogedora-casa-con-4-habitaciones-en-venta-en-fraccionamiento-camino-real-_JM,"$2,290,000",Durango,Camino Real,166 m²,,4,2,2,2,0 años,,191 m²,,,,,1,,,,,,,,,,,,,,,,
1425738243,durango,casa,https://casa.metroscubicos.com/MLM-1425738243-casa-en-venta-prolongacion-urrea-esquina-general-tornel-colonia-insurgentes-_JM,"$3,630,000",Durango,Insurgentes,332 m²,,3,2,2,2,40 años,,363 m²,,,,,,,,,,,,,,,,,,,,,
