ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad
1424164876,chihuahua,casa,https://casa.metroscubicos.com/MLM-1424164876-casa-en-venta-en-infonavit-nacional-_JM,"$1,350,000",Chihuahua,Infonavit Nacional,112 m²,5,3,2,1,,0 años,,146 m²,,,,,,,,,,,,,,,,,,,
1424604805,chihuahua,casa,https://casa.metroscubicos.com/MLM-1424604805-casa-en-venta-pradera-lake-_JM,"$2,300,000",Chihuahua,Diamante Reliz,130 m²,6,3,2,2,,0 años,,137 m²,,,,,,,,,,,,,,,,,,,
1426444055,chihuahua,casa,https://casa.metroscubicos.com/MLM-1426444055-casa-en-venta-inteligente-en-altozano-_JM,,,Inmuebles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424668077,chihuahua,casa,https://casa.metroscubicos.com/MLM-1424668077-casa-en-venta-en-la-paloma-aguascalientes-_JM,"$5,900,000",Juárez,Condominio La Paloma,300 m²,12,4,3,2,3,15 años,900 MXN,270 m²,,,,Sur,,,,,,,,,,,,,,,
1424122978,chihuahua,casa,https://casa.metroscubicos.com/MLM-1424122978-casa-en-venta-zona-canteras-albaterra-chihuahua-_JM,"$4,000,000",Chihuahua,Residencial Albaterra,189 m²,3,3,2,2,2,6 años,0 MXN,218.51 m²,,,,Norte,,,,,,,,,,,,,,,
1424190079,chihuahua,casa,https://casa.metroscubicos.com/MLM-1424190079-casa-en-venta-fraccionamiento-monte-verde-_JM,"$1,900,000",Chihuahua,Fraccionamiento Monteverde I,120 m²,6,3,2,2,,0 años,,164 m²,,,,,,,,,,,,,,,,,,,
1424110822,chihuahua,casa,https://casa.metroscubicos.com/MLM-1424110822-casa-en-venta-zona-canteras-lomas-del-pedregal-chihuahua-_JM,"$9,300,000",Chihuahua,Cantera Del Pedregal,375 m²,4,4,4,2,2,5 años,0 MXN,343 m²,,,,Norte,,,,,,,,,,,,,,,
1423051412,chihuahua,casa,https://casa.metroscubicos.com/MLM-1423051412-casa-sola-en-venta-en-san-rafael-chihuahua-chihuahua-_JM,"$1,485,000",Chihuahua,San Rafael,343 m²,,5,3,,,22 años,,260 m²,,,,,,,,,,,,,,,,,,,
1424710312,chihuahua,casa,https://casa.metroscubicos.com/MLM-1424710312-casa-en-venta-zona-mirador-los-sicomoros-chihuahua-_JM,"$2,780,000",Chihuahua,Los Sicomoros,234.23 m²,3,3,2,2,2,30 años,0 MXN,248.8 m²,,,,Norte,,,,,,,,,,,,,,,
1426369283,chihuahua,casa,https://casa.metroscubicos.com/MLM-1426369283-casa-en-venta-en-torralba-con-maravillosa-vista-en-zona-valle-escondido-_JM,,,Inmuebles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
