ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote
1425548080,aguascalientes,venta,https://casa.metroscubicos.com/MLM-1425548080-venta-espectacular-casa-con-acabados-de-primer-nivel-_JM,"$6,500,000",Aguascalientes,Los Pocitos,320 m²,200 m²,1,3,4,2,1,2,Poniente,2 años,,,,,,,,,,,,,,,,
1397663987,aguascalientes,casa,https://casa.metroscubicos.com/MLM-1397663987-casa-nueva-exclusiva-lujosa-equipada-plusvalia-al-poniente-coto-la-trinidad-_JM,"$1,990,000",Aguascalientes,Puesta del Sol,119 m²,112 m²,,3,3,2,,2,Oriente,0 años,500 MXN,,,,,,,,,,,,,,,
1398422703,aguascalientes,casa,https://casa.metroscubicos.com/MLM-1398422703-casa-nueva-en-inmejorable-coto-residencial-tahona-_JM,"$2,750,000",Aguascalientes,La Cantera,178 m²,163 m²,2,3,3,2,1,1,Sur,0 años,700 MXN,,,,,,,,,,,,,,,
1413775652,aguascalientes,bonita,https://casa.metroscubicos.com/MLM-1413775652-bonita-casa-campestre-_JM,"$3,000,000",Aguascalientes,Ejido El Refugio de PeÃ±uelas,640 mÂ²,150 mÂ²,,,,3,,,,,,1,2,,,,,,,,,,,,,
1411133552,aguascalientes,casa,https://casa.metroscubicos.com/MLM-1411133552-casa-en-zona-tranquila-roof-garden--_JM,"$1,280,000",Aguascalientes,Real De Haciendas,75 m²,135 m²,,3,2,1,,3,Oriente,6 años,0 MXN,,,,,,,,,,,,,,,
1403523219,aguascalientes,gran,https://casa.metroscubicos.com/MLM-1403523219-gran-oportunidad-hermosa-casa-3-recamaras-3-banos-_JM,"$2,690,000",Aguascalientes,Santa Mónica,320.64 m²,117 m²,,3,3,6,,,,,1 MXN,,,,,,,,,,,,,,,
933759497,aguascalientes,casa,https://casa.metroscubicos.com/MLM-933759497-casa-en-venta-en-reserva-santa-monica-_JM,"$2,340,000",Aguascalientes,Rancho Santa Mónica,160 m²,210 m²,,3,3,,,,,2 años,,,,,,,,,,,,,,,,
1423932429,aguascalientes,casa,https://casa.metroscubicos.com/MLM-1423932429-casa-en-jesus-teran-aguascalientes-en-remate-bancario-sdc-_JM,"$810,000",Aguascalientes,Jesús Teran,200 m²,200 m²,,3,2,2,,,,1 años,0 MXN,,,,,,,,,,,,,,,
1425430113,aguascalientes,residencia,https://casa.metroscubicos.com/MLM-1425430113-residencia-a-la-venta-en-condominio-campestre-club-de-golf-sur-en-zona-exclusiva-de-la-ciudad-_JM,"$13,600,000",Aguascalientes,Residencial Campestre Club De Golf Sur,546 m²,,20,3,2,4,,2,,10 años,2100 MXN,,,,,,,,,,,,,,,
1424748401,aguascalientes,casa,https://casa.metroscubicos.com/MLM-1424748401-casa-en-venta-en-vnsa-villas-de-notredame-_JM,"$630,000",Aguascalientes,Aguascalientes,90 m²,,4,2,1,1,,2,,0 años,0 MXN,,,,,,,,,,,,,,,
1424100938,aguascalientes,casa,https://casa.metroscubicos.com/MLM-1424100938-casa-en-miravalle-aguascalientes-en-remate-bancario-sdc-_JM,"$909,000",Aguascalientes,Miravalle,110 m²,100 m²,,3,2,2,,,,1 años,,,,,,,,,,,,,,,,
1426265327,aguascalientes,casa,https://casa.metroscubicos.com/MLM-1426265327-casa-en-privada-cerca-de-metro-tlaltenco-mgv-_JM,"$704,100",San Francisco De Los Romo,Zacatenco,110 m²,,,2,1,1,,,,0 años,0 MXN,,,,,,,,,,,,,,,
1424757050,aguascalientes,casa,https://casa.metroscubicos.com/MLM-1424757050-casa-fraccionamiento-rancho-santa-monica-_JM,"$1,492,000",Aguascalientes,Rancho Santa MÃ³nica,160 mÂ²,,,,,2,,2,,,0 MXN,3,2,0 aÃ±os,,,,,,,,,,,,
