ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Disposición,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,DisposiciÃ³n,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Acceso,Disposición del lote
1313794246,veracruz,vendo,https://casa.metroscubicos.com/MLM-1313794246-vendo-hermosa-casa-en-privado-cordoba-centro-_JM,"$1,490,000",Córdoba,Los Filtros,130 m²,120 m²,,3,2,2,,,,,,,,,,,,,,,,,,,,,,
1401480984,veracruz,casa,https://casa.metroscubicos.com/MLM-1401480984-casa-en-venta-fraccionamiento-campestre-la-orduna-coatepec-veracruz-_JM,"$7,000,000",Coatepec,La Orduña,800 m²,445 m²,,4,7,4,,,,6 años,,,,,,,,,,,,,,,,,,
1422900758,veracruz,casas,https://casa.metroscubicos.com/MLM-1422900758-casas-en-venta-alberca-cerca-de-plaza-el-dorado-_JM,"$1,400,000",MedellÃ­n,Paso Del Toro,100 mÂ²,113 mÂ²,,,,1,1,2,,,1400 MXN,3,2,0 aÃ±os,Casa,Casa sola,,,,,,,,,,,,
1425442835,veracruz,casa,https://casa.metroscubicos.com/MLM-1425442835-casa-crystal-lagoons-fg-_JM,"$1,354,000",Veracruz,Veracruz,75 m²,,,3,2,1,,2,,7 años,0 MXN,,,,,,,,,,,,,,,,,
1424035042,veracruz,casa,https://casa.metroscubicos.com/MLM-1424035042-casa-sola-en-venta-lomas-de-la-rioja-_JM,"$2,380,000",Alvarado,Lomas de la Rioja,160 m²,168 m²,,3,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1424034749,veracruz,casa,https://casa.metroscubicos.com/MLM-1424034749-casa-sola-en-venta-lomas-de-la-rioja-_JM,"$2,380,000",Alvarado,Lomas de la Rioja,160 m²,168 m²,,3,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1425430376,veracruz,casa,https://casa.metroscubicos.com/MLM-1425430376-casa-ricardo-flores-magon-fg-_JM,"$2,482,000",Veracruz,Veracruz,174 m²,,,4,3,2,,3,,9 años,0 MXN,,,,,,,,,,,,,,,,,
1425418876,veracruz,casa,https://casa.metroscubicos.com/MLM-1425418876-casa-pinitos-fg-_JM,"$1,110,233",Veracruz,Veracruz,185 m²,,,3,3,1,,2,,18 años,0 MXN,,,,,,,,,,,,,,,,,
1425867321,veracruz,casa,https://casa.metroscubicos.com/MLM-1425867321-casa-en-venta-4-recamaras-colonia-primero-de-mayo-norte-_JM,"$2,700,000",Boca Del Río,Ejido Primero de Mayo Norte,131 m²,240 m²,10,4,4,2,,,,4 años,,,,,,,,,,,,,,,,,,
1426120657,veracruz,casas,https://casa.metroscubicos.com/MLM-1426120657-casas-en-venta-en-parque-veracruz-boulevard-del-puerto-zona-lomas-de-angelopolis-_JM,"$3,768,120",San Andrés Cholula,Lomas de Angelópolis,258 m²,258 m²,,3,4,2,,3,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1425443302,veracruz,casa,https://casa.metroscubicos.com/MLM-1425443302-casa-en-venta-con-recamara-en-pb-fracc-palmas-green-medellinver-_JM,"$4,400,000",Medellín,Las Palmas,315 m²,250 m²,2,3,4,2,,,,,,,,,,,,,,,,,,,,,,
1425891138,veracruz,casa,https://casa.metroscubicos.com/MLM-1425891138-casa-a-venta-cerca-de-la-playa-_JM,"$5,950,000",Alvarado,Playas del Conchal,300 m²,360 m²,9,3,5,4,,,,0 años,,,,,,,,,,,,,,,,,,
1422740935,veracruz,casa,https://casa.metroscubicos.com/MLM-1422740935-casa-en-venta-fracc-manantiales-en-la-riviera-veracruzana-_JM,"$2,450,000",Alvarado,Manantiales,177 m²,145 m²,,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1426038132,veracruz,casa,https://casa.metroscubicos.com/MLM-1426038132-casa-a-venta-cerca-de-la-playa-con-cctv-vista-al-mar-pergo-_JM,"$6,100,000",Alvarado,Playas del Conchal,212 m²,321 m²,7,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1423406379,veracruz,eres,https://casa.metroscubicos.com/MLM-1423406379-eres-exigente-esta-casa-es-para-ti-_JM,"$5,950,000",Boca Del Río,Boca Del Río Centro,240 m²,360 m²,8,3,4,2,,,,0 años,,,,,,,,,,,,,,,,,,
1423425946,veracruz,bonita,https://casa.metroscubicos.com/MLM-1423425946-bonita-casa-de-oportunidad-excelente-zona-en-veracruz-_JM,"$2,900,000",Boca Del Río,Virginia,223 m²,272 m²,8,3,5,2,,,,0 años,,,,,,,,,,,,,,,,,,
1424754614,veracruz,casa,https://casa.metroscubicos.com/MLM-1424754614-casa-en-venta-_JM,"$960,000",Coatzacoalcos,Puerto México,80.19 m²,106.16 m²,2,2,1,1,,2,Norte,10 años,0 MXN,,,,,,,,,,,,,,,,,
1426076409,veracruz,casa,https://casa.metroscubicos.com/MLM-1426076409-casa-en-venta-de-2-pisos-unidad-habitacional-el-coyolver-_JM,"$899,999",Veracruz,El Coyol,67 m²,126 m²,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,
1425458721,veracruz,casa,https://casa.metroscubicos.com/MLM-1425458721-casa-martires-de-chicago-fg-_JM,"$2,570,000",Xalapa,Mártires De Chicago,350 m²,,,4,3,4,,1,,15 años,0 MXN,,,,,,,,,,,,,,,,,
1424712408,veracruz,vendo,https://casa.metroscubicos.com/MLM-1424712408-vendo-conjunto-de-casas-con-acabados-de-primera-cerca-de-plaza-comercial-_JM,"$1,970,000",Córdoba,San Nicolás,150 m²,180 m²,,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1426367736,veracruz,casa,https://casa.metroscubicos.com/MLM-1426367736-casa-en-venta-en-av-huayacan-_JM,"$4,400,000",Benito JuÃ¡rez,Ixtacahuayo,200 mÂ²,237 mÂ²,,,,,,,,,,4,2,,,,,,,,,,,,,,,
1426258531,veracruz,terreno,https://casa.metroscubicos.com/MLM-1426258531-terreno-en-venta-finca-con-alberca-_JM,"$24,000,000",Boca Del RÃ­o,Costa Sol,5890 mÂ²,541 mÂ²,,,,2,1,1,,,,1,3,20 aÃ±os,CabaÃ±a,Casa sola,,,,,,,,,,,,
1426670003,veracruz,casa,https://casa.metroscubicos.com/MLM-1426670003-casa-en-venta-_JM,"$1,250,000",Coatzacoalcos,Puerto México,48 m²,90 m²,2,2,1,,,2,Norte,20 años,0 MXN,,,,,,,,,,,,,,,,,
1425425682,veracruz,casa,https://casa.metroscubicos.com/MLM-1425425682-casa-en-venta-con-roof-garden-fracc-lomas-diamante-en-la-riviera-veracruzana-_JM,"$4,350,000",Alvarado,Lomas Diamante,315 m²,204 m²,2,3,5,2,,,,,,,,,,,,,,,,,,,,,,
1424702763,veracruz,casa,https://casa.metroscubicos.com/MLM-1424702763-casa-en-venta-en-xalapa-veracruz-oportunidad-_JM,"$2,300,000",Veracruz,Xalapa,162 m²,,,3,2,,,,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1425285740,veracruz,casa,https://casa.metroscubicos.com/MLM-1425285740-casa-vistalmar-fg-_JM,"$2,762,500",Coatzacoalcos,Vistalmar,114 m²,,,3,2,2,,2,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1424190472,veracruz,casa,https://casa.metroscubicos.com/MLM-1424190472-casa-en-venta-guadalupe-victoria-_JM,"$2,800,000",Coatzacoalcos,Guadalupe Victoria,300 m²,250 m²,,3,3,2,,,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1424718654,veracruz,casa,https://casa.metroscubicos.com/MLM-1424718654-casa-en-venta-fraccionamiento-paraiso-coatzacoalcos-_JM,"$3,000,000",Veracruz,Coatzacoalcos,240 m²,,,4,3,2,,,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1424266636,veracruz,casa,https://casa.metroscubicos.com/MLM-1424266636-casa-nueva-en-punta-tiburon-_JM,"$4,920,000",Alvarado,Alvarado,245 m²,283 m²,,5,5,2,1,2,Sur,0 años,550 MXN,,,,,,,,,,,,,,,,,
1423445320,veracruz,exclusiva,https://casa.metroscubicos.com/MLM-1423445320-exclusiva-casa-en-fracc-las-palmas-para-exigentes-_JM,"$14,950,000",Boca Del Río,Boca Del Río Centro,500 m²,570 m²,8,3,4,,,,,0 años,,,,,,,,,,,,,,,,,,
1426101743,veracruz,casa,https://casa.metroscubicos.com/MLM-1426101743-casa-en-venta-con-rec-en-pb-col-formando-hogar-veracruzver-_JM,"$1,750,000",Veracruz,Formando Hogar,170 m²,115 m²,,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1424108211,veracruz,casa,https://casa.metroscubicos.com/MLM-1424108211-casa-sola-en-venta-rigo-_JM,"$1,150,000",Boca Del Río,Rigo,187 m²,138 m²,,3,4,,,,,0 años,,,,,,,,,,,,,,,,,,
1425068921,veracruz,casa,https://casa.metroscubicos.com/MLM-1425068921-casa-en-venta-col-formando-hogar-terreno-grande-_JM,"$1,580,000",Veracruz,Formando Hogar,162.5 m²,110.5 m²,,2,2,,1,2,,15 años,,,,,Casa,Casa sola,,,,,,,,,,,,
1424098496,veracruz,casa,https://casa.metroscubicos.com/MLM-1424098496-casa-sola-en-venta-petrolera-_JM,"$798,000",Córdoba,Petrolera,60 m²,84 m²,,2,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1423924129,veracruz,casa,https://casa.metroscubicos.com/MLM-1423924129-casa-sola-en-venta-lomas-del-estadio-_JM,"$10,500,000",Xalapa,Lomas Del Estadio,352 m²,800 m²,,3,5,,,,,0 años,,,,,,,,,,,,,,,,,,
1423432106,veracruz,casa,https://casa.metroscubicos.com/MLM-1423432106-casa-sola-en-venta-costa-de-oro-_JM,"$4,200,000",Boca Del Río,Costa de Oro,180 m²,190 m²,,2,5,,,,,0 años,,,,,,,,,,,,,,,,,,
1425436462,veracruz,casa,https://casa.metroscubicos.com/MLM-1425436462-casa-en-venta-en-fracc-costa-de-oro-boca-del-rio-de-3-recamaras-_JM,"$5,645,000",Boca Del Río,Costa de Oro,273 m²,,,3,3,2,,2,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1425953990,veracruz,fracc,https://casa.metroscubicos.com/MLM-1425953990-fracc-las-palmas-casa-en-venta-1-planta-2-recamaras-con-alberca-hermosa-_JM,"$2,900,000",MedellÃ­n,Las Palmas,240 mÂ²,,,,,2,,,,,0 MXN,2,2,0 aÃ±os,,,,,,,,,,,,,,
1423905664,veracruz,casa,https://casa.metroscubicos.com/MLM-1423905664-casa-sola-en-venta-fracc-el-estero-_JM,"$3,200,000",Boca Del Río,El Estero,120 m²,180 m²,,3,4,,,,,22 años,,,,,,,,,,,,,,,,,,
1424091218,veracruz,casa,https://casa.metroscubicos.com/MLM-1424091218-casa-sola-en-venta-infonavit-el-morro-_JM,"$1,900,000",Boca Del Río,INFONAVIT el Morro,350 m²,450 m²,,5,5,,,,,12 años,,,,,,,,,,,,,,,,,,
1426082940,veracruz,casa,https://casa.metroscubicos.com/MLM-1426082940-casa-nueva-en-venta-fracc-lomas-de-la-rioja-riviera-veracruzana-_JM,"$2,350,000",Alvarado,Lomas de la Rioja,165 m²,160 m²,,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1425940034,veracruz,casa,https://casa.metroscubicos.com/MLM-1425940034-casa-sola-en-venta-playa-de-chachalacas-_JM,"$1,000,000",Ursulo GalvÃ¡n,Playa De Chachalacas,3000 mÂ²,297 mÂ²,,,,,,,,,,4,2,17 aÃ±os,,,,,,,,,,,,,,
1423886415,veracruz,casa,https://casa.metroscubicos.com/MLM-1423886415-casa-sola-en-venta-pedregal-de-las-animas-_JM,"$2,900,000",Xalapa,Pedregal De Las Animas,152 m²,200 m²,,3,5,,,,,0 años,,,,,,,,,,,,,,,,,,
1424088772,veracruz,casa,https://casa.metroscubicos.com/MLM-1424088772-casa-sola-en-venta-kiannah-residencial-_JM,"$2,700,000",Córdoba,Alianza Popular,164 m²,248 m²,,3,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1426106923,veracruz,casa,https://casa.metroscubicos.com/MLM-1426106923-casa-en-venta-con-alberca-fracc-punta-tiburon-laguna-5-en-la-riviera-veracruzana-_JM,"$5,500,000",Alvarado,Punta Tiburón,284 m²,360 m²,3,3,5,2,,,,,,,,,,,,,,,,,,,,,,
1425973567,veracruz,casa,https://casa.metroscubicos.com/MLM-1425973567-casa-sola-en-venta-miradores-de-santa-rosa-_JM,"$1,150,000",Xalapa,Santa Rosa,75 m²,89 m²,,3,2,,,,,0 años,,,,,,,,,,,,,,,,,,
1423426859,veracruz,casa,https://casa.metroscubicos.com/MLM-1423426859-casa-sola-en-venta-fracc-cumbres-residencial-_JM,"$1,630,000",Boca Del Río,Residencial la Joya,108 m²,112 m²,,3,3,,,,,1 años,,,,,,,,,,,,,,,,,,
1423387084,veracruz,casa,https://casa.metroscubicos.com/MLM-1423387084-casa-sola-en-venta-marquez-hoyos-_JM,"$1,500,000",Córdoba,Marquez Hoyos,190 m²,161 m²,,4,3,,,,,0 años,,,,,,,,,,,,,,,,,,
1423549656,veracruz,casa,https://casa.metroscubicos.com/MLM-1423549656-casa-en-venta-de-una-planta-fracc-lomas-de-la-rioja-riviera-veracruzana-_JM,"$2,390,000",Alvarado,Lomas de la Rioja,208 m²,124 m²,2,3,3,2,,,,5 años,,,,,,,,,,,,,,,,,,
1424611807,veracruz,casa,https://casa.metroscubicos.com/MLM-1424611807-casa-sola-en-venta-geovillas-los-pinos-ii-_JM,"$760,000",Veracruz,Geovillas Los Pinos II,90 m²,105 m²,,2,3,,,,,12 años,,,,,,,,,,,,,,,,,,
1424094831,veracruz,casa,https://casa.metroscubicos.com/MLM-1424094831-casa-sola-en-venta-col-lomas-del-mar-_JM,"$1,490,000",Boca Del Río,Lomas Del Mar,150 m²,160 m²,,3,3,,,,,2 años,,,,,,,,,,,,,,,,,,
1424125285,veracruz,casa,https://casa.metroscubicos.com/MLM-1424125285-casa-sola-en-venta-costa-de-oro-_JM,"$5,740,000",Boca Del Río,Costa de Oro,215 m²,285 m²,,3,4,,,,,1 años,,,,,,,,,,,,,,,,,,
