ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote
1341454886,chiapas,col,https://casa.metroscubicos.com/MLM-1341454886-col-alcanfores-_JM,"$12,600,000",San Cristóbal De Las Casas,Los Alcanfores,1151 m²,,3,2,2,,2 años,,400 m²,,,,,,,,,,,,,,,,,
1353075109,chiapas,casa,https://casa.metroscubicos.com/MLM-1353075109-casa-en-la-col-altejar-san-cristobal-de-las-casas-_JM,"$4,950,000",San Cristóbal De Las Casas,Altejar,330 m²,,3,3,2,,25 años,,194 m²,,,,,,,,,,,,,,,,,
1424100516,chiapas,se,https://casa.metroscubicos.com/MLM-1424100516-se-vende-residencia-en-privada-boulevares-_JM,"$5,900,000",Tuxtla Gutiérrez,Privada Boulevares,306 m²,,3,3,,2,,,369 m²,,,,,,,,,,,,,,,,,
1423505500,chiapas,casa,https://casa.metroscubicos.com/MLM-1423505500-casa-teran-fg-_JM,"$1,891,000",Tuxtla Gutiérrez,Teran,180 m²,,3,2,2,2,13 años,0 MXN,,,,,,,,,,,,,,,,,,
1424080555,chiapas,casa,https://casa.metroscubicos.com/MLM-1424080555-casa-en-venta-con-excedente-de-terreno-en-residencial-con-persianas-y-ac-incluidos-_JM,"$3,950,000",Tuxtla Gutiérrez,La Victoria,228 m²,,3,4,,,,,192 m²,,,,,,,,,,,,,,,,,
1425959610,chiapas,se,https://casa.metroscubicos.com/MLM-1425959610-se-vende-casa-en-esquina-fracc-el-barro-en-san-cristobal-de-las-casas-_JM,"$4,500,000",San Cristóbal De Las Casas,San Ramón,160 m²,,4,4,,,,,313 m²,,,,,,,,,,,,,,,,,
1426034340,chiapas,se,https://casa.metroscubicos.com/MLM-1426034340-se-vende-casa-en-fraccionamiento-el-barro-en-san-cristobal-de-las-casas-_JM,"$3,500,000",Chiapas,San Cristóbal De Las Casas,120 m²,,4,3,,,,,251 m²,,,,,,,,,,,,,,,,,
1425946707,chiapas,se,https://casa.metroscubicos.com/MLM-1425946707-se-vende-casa-en-fraccionamiento-el-barro-en-san-cristobal-de-las-casas-_JM,"$3,500,000",San Cristóbal De Las Casas,San Ramón,120 m²,,4,3,,,,,251 m²,,,,,,,,,,,,,,,,,
1423537783,chiapas,casa,https://casa.metroscubicos.com/MLM-1423537783-casa-de-4-recamaras-con-ac-en-privada-jardin-de-las-flores-_JM,"$3,300,000",Tuxtla Gutiérrez,Las Flores,123 m²,9,4,4,2,,0 años,,250 m²,,,,,,,,,,,,,,,,,
1422701699,chiapas,casa,https://casa.metroscubicos.com/MLM-1422701699-casa-en-venta-col-albania-baja-_JM,"$3,200,000",Tuxtla Gutiérrez,Albania Baja,115 m²,8,3,4,2,,0 años,,250 m²,,,,,,,,,,,,,,,,,
