ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad
1422720846,coahuila,casa,https://casa.metroscubicos.com/MLM-1422720846-casa-en-venta-en-hacienda-del-rosario-_JM,"$8,800,000",Torreón,Hacienda del Rosario,500 m²,,3,3,2,,,,500 m²,,,,,,,,,,,,,,,,,,,
1422708473,coahuila,casa,https://casa.metroscubicos.com/MLM-1422708473-casa-en-venta-en-la-toscana-residencial-_JM,"$3,190,000",Torreón,Ampliación Senderos,230 m²,,4,4,2,,,,256 m²,,,,,,,,,,,,,,,,,,,
1422751797,coahuila,casa,https://casa.metroscubicos.com/MLM-1422751797-casa-en-venta-en-palma-real-vinedos-_JM,"$1,800,000",Torreón,Fraccionamiento Residencial Palma Real,176 m²,,3,2,2,,,,179 m²,,,,,,,,,,,,,,,,,,,
1422708370,coahuila,casa,https://casa.metroscubicos.com/MLM-1422708370-casa-en-venta-en-los-vinedos-_JM,"$3,450,000",Torreón,Los Viñedos,250 m²,,3,3,,,,,312 m²,,,,,,,,,,,,,,,,,,,
1422691211,coahuila,casa,https://casa.metroscubicos.com/MLM-1422691211-casa-en-venta-en-las-villas-_JM,"$18,000,000",Torreón,Las Villas,1050 m²,,4,5,4,,,,780 m²,,,,,,,,,,,,,,,,,,,
1423537732,coahuila,casa,https://casa.metroscubicos.com/MLM-1423537732-casa-en-venta-en-las-villas-_JM,"$7,300,000",Torreón,Las Villas,400 m²,,4,4,2,,,,420 m²,,,,,,,,,,,,,,,,,,,
1422751712,coahuila,casa,https://casa.metroscubicos.com/MLM-1422751712-casa-en-venta-en-fracc-las-vinas-vinedos-_JM,"$4,650,000",Torreón,Los Viñedos,278 m²,,4,5,2,,,,320 m²,,,,,,,,,,,,,,,,,,,
1422701891,coahuila,casa,https://casa.metroscubicos.com/MLM-1422701891-casa-en-venta-en-las-trojes-_JM,"$6,500,000",TorreÃ³n,Las Trojes,447 mÂ²,,,,2,,,,510 mÂ²,4,4,,,,,,,,,,,,,,,,,
1425431225,coahuila,proyecto,https://casa.metroscubicos.com/MLM-1425431225-proyecto-de-construccion-en-terreno-en-las-villas-en-torreon-_JM,"$13,000,000",Torreón,Las Villas,500 m²,,3,3,2,,,,500 m²,,,,,,,,,,,,,,,,,,,
1422740242,coahuila,casa,https://casa.metroscubicos.com/MLM-1422740242-casa-en-venta-en-residencial-campestre-la-rosita-_JM,"$7,200,000",Torreón,Residencial Campestre la Rosita,900 m²,,3,4,2,,,,516 m²,,,,,,,,,,,,,,,,,,,
