ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Bodegas,Tipo de casa,Tipo de propiedad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
962015956,sonora,se,https://casa.metroscubicos.com/MLM-962015956-se-vende-casa-en-villa-bonita-nogales-sonora-_JM,"$1,800,000",Nogales,Nogales (Nogales),110 m²,209 m²,,4,3,2,,,0 años,,,,,,,,,,,,,,
929898342,sonora,residencia,https://casa.metroscubicos.com/MLM-929898342-residencia-en-venta-en-parque-sonora-_JM,"$4,400,000",San Andrés Cholula,Lomas de Angelópolis,186 m²,300 m²,10,4,4,2,,,0 años,,,,,,,,,,,,,,
1386066485,sonora,venta,https://casa.metroscubicos.com/MLM-1386066485-venta-casa-villa-sonora-_JM,"$750,000",Hermosillo,Villa Sonora,135 m²,128 m²,4,2,2,,,,0 años,,,,,,,,,,,,,,
1410828897,sonora,casa,https://casa.metroscubicos.com/MLM-1410828897-casa-venta-al-norte-de-la-ciudad-_JM,"$3,995,000",Hermosillo,Sacramento R,210 m²,340 m²,4,4,4,2,2,Norte,0 años,0 MXN,,,,,,,,,,,,,
936426691,sonora,casa,https://casa.metroscubicos.com/MLM-936426691-casa-en-venta-en-exclusivo-desarrollo-al-norte-de-hermosillo-_JM,"$20,500,000",Hermosillo,Cumbres Residencial,1721 m²,1327.8 m²,,7,6,4,,,0 años,,,,,,,,,,,,,,
934360156,sonora,se,https://casa.metroscubicos.com/MLM-934360156-se-vende-casa-en-residencial-casa-blanca-_JM,"$4,800,000",Nogales,Nogales (Nogales),300 m²,,,3,2,2,,,0 años,,,,,,,,,,,,,,
1388913665,sonora,residencial,https://casa.metroscubicos.com/MLM-1388913665-residencial-casa-en-venta-_JM,"$7,500,000",Hermosillo,Cumbres Residencial,908.75 m²,743 m²,4,4,5,4,2,Norte,0 años,0 MXN,,,,,,,,,,,,,
1326064254,sonora,se,https://casa.metroscubicos.com/MLM-1326064254-se-vende-casa-habitacion-con-terreno-excedente-_JM,"$1,870,000",Hermosillo,Las Palmas,128 m²,114 m²,5,3,2,,,,0 años,,,,,,,,,,,,,,
872598543,sonora,magnifica,https://casa.metroscubicos.com/MLM-872598543-magnifica-residencia-en-venta-_JM,"$16,000,000",Hermosillo,Terrazas Del Mirador,1634 m²,986 m²,10,3,5,6,,,0 años,,,,,,,,,,,,,,
914430903,sonora,casa,https://casa.metroscubicos.com/MLM-914430903-casa-en-venta-los-lagos-hermosillo-sonora-_JM,"$12,900,000",Hermosillo,Los Lagos,439 m²,581 m²,9,4,4,,,Poniente,,,,,,,,,,,,,,,
924045369,sonora,se,https://casa.metroscubicos.com/MLM-924045369-se-vende-casa-en-colonia-kalitea-_JM,"$16,000,000",Nogales,Jardines Kalitea,450 m²,614 m²,,4,5,8,,,2 años,,,,,,,,,,,,,,
1386060124,sonora,venta,https://casa.metroscubicos.com/MLM-1386060124-venta-casa-en-colonia-vinedos-_JM,"$680,000",Hermosillo,Los Viñedos I,120 m²,70 m²,3,2,1,2,,,0 años,,,,,,,,,,,,,,
1344775116,sonora,se,https://casa.metroscubicos.com/MLM-1344775116-se-vende-casa-en-privada-hera-colonia-el-greco-_JM,"$8,500,000",Nogales,Nogales (Nogales),801.48 m²,392 m²,,3,3,8,,,7 años,,,,,,,,,,,,,,
1386060136,sonora,vende,https://casa.metroscubicos.com/MLM-1386060136-vende-casa-4-recamaras-colonia-bugambilias-_JM,"$1,720,000",Hermosillo,Bugambilia,150 m²,218 m²,7,4,3,3,,,0 años,,,,,,,,,,,,,,
1386053664,sonora,casa,https://casa.metroscubicos.com/MLM-1386053664-casa-en-venta-cerrada-buena-vista-_JM,"$1,500,000",Hermosillo,El Llanito,117 m²,120 m²,7,3,2,2,,,0 años,,,,,,,,,,,,,,
951146004,sonora,casa,https://casa.metroscubicos.com/MLM-951146004-casa-venta-el-sahuaro-hermosillo-1150000-veninz-rg1-_JM,"$1,150,000",Hermosillo,Paseo Del Sahuaro,140 m²,153 m²,7,4,3,1,,,0 años,,,,,,,,,,,,,,
929942762,sonora,se,https://casa.metroscubicos.com/MLM-929942762-se-vende-casa-en-fraccto-real-de-sevilla-_JM,"$1,100,000",Cajeme,Cd. Obregón (Ciudad Obregón),96.11 m²,135 m²,,4,1,,,,1 años,,,,,,,,,,,,,,
1386066480,sonora,venta,https://casa.metroscubicos.com/MLM-1386066480-venta-casa-en-villa-bonita-residencial-_JM,"$940,000",Hermosillo,Villa Bonita,128 m²,100 m²,6,3,2,2,,,0 años,,,,,,,,,,,,,,
1384530227,sonora,casa,https://casa.metroscubicos.com/MLM-1384530227-casa-en-venta-en-nogales-sonora-vcr-_JM,"$818,400",Nogales,Lomas de Anza,90 m²,100 m²,,3,2,2,2,Norte,,,,,,,1,,,,,,,,
1334490119,sonora,sl,https://casa.metroscubicos.com/MLM-1334490119-sl-casa-en-venta-en-rioja-residencial-hermosillo-_JM,"$3,574,000",Hermosillo,La Rioja Residencial,294 m²,245 m²,,4,4,2,,,,,,,,,,,,,,,,,
915281778,sonora,casa,https://casa.metroscubicos.com/MLM-915281778-casa-en-venta-los-santos-residencial-hermosillo-sonora-_JM,"$7,600,000",Hermosillo,Los Santos Residencial,351 m²,385 m²,10,4,5,3,,Poniente,,,,,,,,,,,,,,,
1383167747,sonora,casa,https://casa.metroscubicos.com/MLM-1383167747-casa-en-venta-nuevo-nogales-sonora-ab-_JM,"$917,500",Nogales,Nuevo Nogales,110 m²,80 m²,,2,1,1,2,,5 años,0 MXN,,,,,,,,,,,,,
924045332,sonora,se,https://casa.metroscubicos.com/MLM-924045332-se-vende-hermosa-casa-en-colonia-rodeo-_JM,"U$S200,000",Nogales,El Rodeo,228 m²,316 m²,,4,3,3,,,14 años,,,,,,,,,,,,,,
1386078378,sonora,venta,https://casa.metroscubicos.com/MLM-1386078378-venta-casa-cortijo-unison-_JM,"$800,000",Hermosillo,El Cortijo UNISON,126 m²,48 m²,3,2,1,,,,0 años,,,,,,,,,,,,,,
948438915,sonora,se,https://casa.metroscubicos.com/MLM-948438915-se-vende-casa-en-residencial-california-_JM,"$3,950,000",Nogales,Nogales (Nogales),270 m²,,,4,2,2,,,0 años,,,,,,,,,,,,,,
1385933539,sonora,vende,https://casa.metroscubicos.com/MLM-1385933539-vende-casa-milan-residencial-_JM,"$1,375,000",Hermosillo,Milán,128 m²,175 m²,6,3,2,3,,,0 años,,,,,,,,,,,,,,
805507299,sonora,casa,https://casa.metroscubicos.com/MLM-805507299-casa-en-venta-sonora-col-petrolera-_JM,"$1,800,000",Coatzacoalcos,Petrolera,195 m²,168 m²,,3,2,,,,11 años,0 MXN,,,,,,,,,,,,,
1334669156,sonora,excelente,https://casa.metroscubicos.com/MLM-1334669156-excelente-casa-de-una-planta-en-venta-_JM,"$1,950,000",Hermosillo,Fuentes Del Mezquital,160 m²,122 m²,6,3,2,1,,,0 años,,,,,,,,,,,,,,
1311016788,sonora,casa,https://casa.metroscubicos.com/MLM-1311016788-casa-en-venta-sonora-col-petrolera-_JM,"$1,800,000",Coatzacoalcos,Petrolera,195 m²,168 m²,,3,2,,,,11 años,0 MXN,,,,,,,,,,,,,
1386066478,sonora,venta,https://casa.metroscubicos.com/MLM-1386066478-venta-casa-real-del-quiroga-_JM,"$1,600,000",Hermosillo,Real De Quiroga,204 m²,158 m²,5,3,2,3,,,0 años,,,,,,,,,,,,,,
1333911381,sonora,residencial,https://casa.metroscubicos.com/MLM-1333911381-residencial-en-venta-en-residencial-exclusico-al-norte-de-la-ciudad-_JM,"$19,800,000",Hermosillo,La Jolla Villa De Las Esmeraldas,778 m²,486 m²,,4,4,5,1,Norte,10 años,,,,,,1,,,,,,,,
1390413715,sonora,casa,https://casa.metroscubicos.com/MLM-1390413715-casa-de-oportunidad-amueblada-casa-de-3-cuartos-y-2-banos-lista-para-ser-habitada-_JM,"U$S50,000",Puerto PeÃ±asco,Nueva Esperanza,250 mÂ²,,,,,,,,,,3,2,,,,,,,,,,,
1402617590,sonora,se,https://casa.metroscubicos.com/MLM-1402617590-se-vende-casa-en-serena-residencial-nogales-sonora-_JM,"$1,150,000",Nogales,Buenos Aires,65 m²,120 m²,,3,1,,,,0 años,,,,,,,,,,,,,,
1390387710,sonora,increible,https://casa.metroscubicos.com/MLM-1390387710-increible-casa-para-vacacionar-frente-a-la-playa-las-conchas-_JM,"U$S398,500",Puerto PeÃ±asco,Las Conchas,1232 mÂ²,,,,,,,,,,4,4,,,,,,,,,,,
1385914355,sonora,venta,https://casa.metroscubicos.com/MLM-1385914355-venta-casa-campestre-_JM,"$900,000",Hermosillo,San Pedro El Saucito,2000 m²,120 m²,6,2,2,10,,,0 años,,,,,,,,,,,,,,
1367351104,sonora,hermosa,https://casa.metroscubicos.com/MLM-1367351104-hermosa-casa-nueva-en-colonia-pitic-_JM,"$8,300,000",Hermosillo,Pitic,350 m²,355.49 m²,,3,4,3,,,0 años,,,,,,,,,,,,,,
1390392165,sonora,casa,https://casa.metroscubicos.com/MLM-1390392165-casa-venta-con-vista-al-mar-de-cortes-en-san-carlos-sonora-_JM,"$12,806,000",Guaymas,San Carlos Nuevo Guaymas,278 mÂ²,258 mÂ²,,,,,2,,,,4,5,,,,,,,,,,,
1385914410,sonora,casa,https://casa.metroscubicos.com/MLM-1385914410-casa-en-venta-3-recamaras-cucurpe-_JM,"$2,650,000",Hermosillo,Cucurpe,205 m²,285 m²,6,3,2,2,,,0 años,,,,,,,,,,,,,,
1386016512,sonora,casa,https://casa.metroscubicos.com/MLM-1386016512-casa-en-venta-3-rec-col-casa-blanca-_JM,"$2,300,000",Hermosillo,Casa Blanca,332 m²,250 m²,6,3,3,,,,0 años,,,,,,,,,,,,,,
1398284548,sonora,casa,https://casa.metroscubicos.com/MLM-1398284548-casa-en-venta-en-la-rioja-residencial-_JM,"$10,500,000",Hermosillo,La Rioja Residencial,500 m²,430 m²,,4,5,4,2,,10 años,,,,,,1,Casa,Casa sola,,,,,,
1385992110,sonora,venta,https://casa.metroscubicos.com/MLM-1385992110-venta-casa-provincias-residencial-nuevas-_JM,"$2,000,000",Hermosillo,Centro,129 m²,128 m²,6,3,2,,,,0 años,,,,,,,,,,,,,,
