tipo,precio,predPrices,diffPrices,percentDiff,m2Terreno,colonia,municipio_x,entidad,codigo_postal,latitud,longitud
terrenos,690144.0,1080000.0,389856.0,56.48908053971344,862.0,Hunucma,Hunucma,Yucatán,,,
terrenos,80000.0,160000.0,80000.0,100.0,500.0,Mococha,Mococha,Yucatán,97454.0,21.1028575897217,-89.4493103027344
terrenos,524355.0,330000.0,-194355.0,-37.06553766055439,403.0,San Crisanto,Sinanché,Yucatán,97424.0,21.3532810211182,-89.1717987060547
terrenos,1649097.0,1730000.0,80903.0,4.905896984834723,446.0,Tamanche,Mérida,Yucatán,,,
terrenos,2600.0,30000.0,27400.0,1053.8461538461538,917.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,2600.0,30000.0,27400.0,1053.8461538461538,917.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
terrenos,2600.0,30000.0,27400.0,1053.8461538461538,917.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,110000.0,10000.0,-100000.0,-90.9090909090909,300.0,Tebec,Uman,Yucatán,97394.0,20.8813571929932,-89.681999206543
terrenos,1358432.0,1530000.0,171568.0,12.62985559821912,424.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1358432.0,1530000.0,171568.0,12.62985559821912,424.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
terrenos,1358432.0,1530000.0,171568.0,12.62985559821912,424.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,150720.0,130000.0,-20720.0,-13.74734607218684,405.0,Chuburna Puerto,Progreso,Yucatán,97336.0,21.2678642272949,-89.7459259033203
terrenos,1890000.0,1370000.0,-520000.0,-27.513227513227513,1260.0,Ucu,Ucu,Yucatán,,,
terrenos,3800.0,10000.0,6200.0,163.15789473684214,390.0,Conkal,Conkal,Yucatán,97345.0,21.0742607116699,-89.5194549560547
terrenos,2148270.0,1890000.0,-258270.0,-12.022231842366182,425.0,Dzidzilche,Mérida,Yucatán,,,
terrenos,599289.0,580000.0,-19289.0,-3.2186474305385238,247.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,599289.0,580000.0,-19289.0,-3.2186474305385238,247.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
terrenos,599289.0,580000.0,-19289.0,-3.2186474305385238,247.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,1762500.0,1420000.0,-342500.0,-19.43262411347517,1250.0,San Crisanto,Sinanché,Yucatán,97424.0,21.3532810211182,-89.1717987060547
terrenos,3200.0,170000.0,166800.0,5212.5,360.0,Centro,Mérida,Yucatán,,,
terrenos,352000.0,50000.0,-302000.0,-85.79545454545455,400.0,Actuncah,Temozon,Yucatán,97743.0,20.8920822143555,-88.1457977294922
terrenos,1393257.0,530000.0,-863257.0,-61.95963845866197,334.0,Centro,Mérida,Yucatán,,,
terrenos,1731952.0,450000.0,-1281952.0,-74.01775568837937,218.0,Temozon Norte,Mérida,Yucatán,,,
terrenos,2835189.0,470000.0,-2365189.0,-83.4226219133892,900.0,Komchen,Mérida,Yucatán,,,
terrenos,1872000.0,910000.0,-962000.0,-51.388888888888886,480.0,Del Norte,Mérida,Yucatán,97120.0,21.017749786377,-89.6178359985352
terrenos,1217470.0,680000.0,-537470.0,-44.14646767476816,312.0,Tamanche,Mérida,Yucatán,,,
terrenos,4097353.0,1120000.0,-2977353.0,-72.66527926688279,505.0,Temozon Norte,Mérida,Yucatán,,,
terrenos,650000.0,1500000.0,850000.0,130.76923076923075,428.0,Chicxulub,Chicxulub Pueblo,Yucatán,97340.0,21.1349620819092,-89.5243453979492
terrenos,704000.0,330000.0,-374000.0,-53.125,176.0,Chelem,Progreso,Yucatán,97336.0,21.2678642272949,-89.7459259033203
terrenos,699143.0,670000.0,-29143.0,-4.168389013406415,367.0,Misnebalam,Progreso,Yucatán,,,
terrenos,1109240.0,730000.0,-379240.0,-34.18917456997585,277.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1109240.0,730000.0,-379240.0,-34.18917456997585,277.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
terrenos,1109240.0,730000.0,-379240.0,-34.18917456997585,277.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,1360453.0,1920000.0,559547.0,41.129462024781446,476.0,Cholul,Mérida,Yucatán,97305.0,21.0393619537354,-89.5932693481445
terrenos,1360453.0,1920000.0,559547.0,41.129462024781446,476.0,Cholul,Mérida,Yucatán,97918.0,20.4695072174072,-89.0872573852539
terrenos,1360453.0,1920000.0,559547.0,41.129462024781446,476.0,Cholul,Mérida,Yucatán,97774.0,20.8552703857422,-87.6705703735352
terrenos,5320473.0,1700000.0,-3620473.0,-68.04795363119031,459.0,Temozon Norte,Mérida,Yucatán,,,
terrenos,2217468.0,330000.0,-1887468.0,-85.11816179534496,250.0,Temozon Norte,Mérida,Yucatán,,,
terrenos,420000.0,340000.0,-80000.0,-19.047619047619047,420.0,Kikteil,Mérida,Yucatán,97303.0,21.1296768188477,-89.6934967041016
terrenos,3148670.0,470000.0,-2678670.0,-85.07306259468284,899.0,Komchen,Mérida,Yucatán,,,
terrenos,639743.0,580000.0,-59743.0,-9.338593779064407,262.0,Conkal,Conkal,Yucatán,97345.0,21.0742607116699,-89.5194549560547
terrenos,2217468.0,330000.0,-1887468.0,-85.11816179534496,250.0,Temozon Norte,Mérida,Yucatán,,,
terrenos,850096.0,10000.0,-840096.0,-98.82366226873201,300.0,Conkal,Conkal,Yucatán,97345.0,21.0742607116699,-89.5194549560547
terrenos,1200.0,340000.0,338800.0,28233.333333333332,420.0,Kikteil,Mérida,Yucatán,97303.0,21.1296768188477,-89.6934967041016
terrenos,3115006.0,3030000.0,-85006.0,-2.7289193022421165,53707.0,Chablekal,Mérida,Yucatán,97302.0,21.0626258850098,-89.612434387207
terrenos,799675.0,690000.0,-109675.0,-13.714946697095698,319.0,Xcuyun,Conkal,Yucatán,,,
